embeddings	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
14,15,16,17,18	PER	PETRONILA ANGELICA GOMEZ	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
23,24,25,26	PER	V . VALERA REYES	Valera Reyes	Valera Reyes	
28,29,30,31	PER	PETRONILA A . GOMEZ	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
33,34,35,36	PER	CONSUELO MONTALVO DE FRIAS	Consuelo Montalvo de Frías	Consuelo Montalvo de Frías	
41,42,43,44	LOC	San Pedro de Macorís	San Pedro de Macorís	San Pedro de Macorís	
84	ORG	Patria	Patria	Patria	
548	MISC	Patria	Patria	Patria	
551	MISC	Fémina	Fémina	Fémina	
562	MISC	Fémina	Fémina	Fémina	
577	MISC	Patria	Patria	Patria	
653	MISC	Patria	Patria	Patria	
795	MISC	Patria	Patria	Patria	
849	MISC	Patria	Patria	Patria	
865,866,867,868,869,870,871	PER	MARIA L . DE ANGELIS DE CANINO	María Luisa Angelis de Canino	María Luisa Angelis de Canino	
875,876,877,878	PER	María del Mar Caribe	María del Mar Caribe	María del Mar Caribe	
964,965,966	ORG	patria de Febrero	Patria de Febrero	Patria de Febrero	
1136	ORG	Patria	Patria	Patria	
1324	LOC	Quisqueyana	"Revista ""Quisqueya"""	Revista Quisqueya	
1327,1328,1329	PER	PETRONILA ANGELICA COMEZ	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
1332	MISC	Bisfalia	Bisfalia	Bisfalia	
1517	PER	Minerva	Minerva	Minerva	Q6864471
1528	PER	Moisés	Moisés	Moses	Q9077
1570	MISC	FEMINA	Fémina	Fémina	
1713	MISC	Victoria	Victoria	Victoria	
1716,1717,1718,1719	PER	CONSUELO M. DE FRIAS	Consuelo Montalvo de Frías	Consuelo Montalvo de Frías	
1722	ORG	Magnolia	Magnolia	Magnolia	
1730,1731,1732,1733	LOC	San Pedro de Macoris	San Pedro de Macorís	San Pedro de Macorís	
1743,1744	PER	PATIN MACEO	Patín Maceo Veloz	Patín Maceo Veloz	
1753,1754	PER	FABIO FIALLO	Fabio Fiallo	Fabio Fiallo	Q5854181
1758,1759	LOC	teatro Colón	Teatro Colón	Teatro Colón	
1764,1765	LOC	Santo Domingo	Santo Domingo	Santo Domingo	
1778,1779	PER	Fabio Fiallo	Fabio Fiallo	Fabio Fiallo	Q5854181
1809	MISC	Patria	Patria	Patria	
1966	MISC	República	República Dominicana	República Dominicana	
1982	PER	Dulcinea	Dulcinea	Dulcinea	Q1264776
2034	MISC	Patria	Patria	Patria	
2170	ORG	República	República Dominicana	República Dominicana	
2197	MISC	Fémina	Fémina	Fémina	
2318,2319,2320,2321	PER	Miguel A . Guerrero	Miguel A. Guerrero	Miguel A. Guerrero	
2324	MISC	Fémina	Fémina	Fémina	
2334	MISC	Fémina	Fémina	Fémina	
2495	MISC	Patria	Patria	Patria	
2511	MISC	FÉMINA	Fémina	Fémina	
2551	LOC	América	América	América	
2565	MISC	FÉMINA	Fémina	Fémina	
2875	ORG	FÉMINA	Fémina	Fémina	
2907,2908,2909,2910	PER	V . VALERA REYES	Valera Reyes	Valera Reyes	
2964,2965,2966	PER	Victor M. Geraldino	Victor M. Geraldino	Victor M. Geraldino	
2991,2992	PER	Cheita Ricart	Cheita Ricart	Cheita Ricart	
2995,2996,2997	PER	M. Alfaro Reyes	M. Alfaro Reyes	Manuel Alfaro Reyes	
3023,3024,3025	PER	Manuel Mallen Isambert	Manuel Mallen Isambert	Manuel Mallen Isambert	
3032,3033	PER	Lelé Guerra	Lelé Guerra	Lelé Guerra	
3086	PER	Macosana	Macosana	Macosana	
3122	PER	HIMENEO	Himeneo	Himeneo	
3135,3136,3137	PER	Manuel F. Leonor	Manuel F. Leonor	Manuel F. Leonor	
3143,3144	PER	Mélida Mercado	Mélida Mercado	Mélida Mercado	
3166	PER	Alfonso	Alfonso	Alfonso	
3185,3186,3187	PER	Miguel Rodriguez O.	Miguel Rodríguez O.	Miguel Rodríguez O.	
3189,3190,3191,3192	PER	Alfonsina M. de Rodriguez	Alfonsina M. de Rodríguez	Alfonsina M. de Rodríguez	
3198,3199,3200,3201	ORG	La Prensa	La Prensa	La Prensa	
3231,3232	PER	Luis Amiama	Luis Amiama	Luis Amiama	
3258,3259,3260	PER	A . Scaroina	A . Scaroina	A. Scaroina	
3270,3271,3272	ORG	Cuerpo de Bomberos	Cuerpo de Bomberos	Cuerpo de Bomberos	
3380,3381	PER	Moscoso Puello	Moscoso Puello	Anacaona Moscoso Puello	Q111378870
3409,341	PER	Patín MaceoVeloz	Patín Maceo Veloz	Patín Maceo Veloz	
3458,3459	PER	Jorge Pou	Jorge Pou	Jorge Pou	
