embedding	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
88,89	PER	CONSTANCIA POBLETE	Constancia Poblete	Constancia Poblete	
102,103	PER	FRANCISCA GESMUNDO	Francisca Gesmundo	Francisca Gesmundo	
113	LOC	Manila	Manila	Manila	
131	LOC	Manila	Manila	Manila	
559,560	PER	Fabián Vidal	Fabián Vidal	Fabián Vidal	Q62994777
723	LOC	México	México	México	
727,728	PER	Mallde Montoya	Mallde Montoya	Matilde Montoya	Q4794047
733	MISC	Medicina	Medicina	Medicina	
743	LOC	Chile	Chile	Chile	
750	MISC	Jurisprudencia	Jurisprudencia	Jurisprudencia	
794,795	ORG	Cámarade Comercio	Cámarade Comercio	Cámarade Comercio	
799	LOC	Ecuador	Ecuador	Ecuador	
801	LOC	Columbia	Columbia	Columbia	
815	LOC	Venezunela	Venezuela	Venezuela	
820	PER	Baralt	Baralt	Luis Alejandro Baralt Zacharie	Q107504347
835	LOC	Perú	Perú	Perú	
852	LOC	Uruguny	Uruguny	Uruguny	
854	LOC	Bolivía	Bolivía	Bolivía	
1001	MISC	FILIPINAS	Filipinas	Filipinas	
1022	LOC	Guanajuato	Guanajuato	Guanajuato	
1029	PER	Ingares	Ingares	Ingares	
1042	LOC	Tulaen	Tulaen	Tulaen	
1097,1098,1099,1100	LOC	San Juan del Rio	San Juan del Rio	San Juan del Rio	
1131	LOC	Querétaro	Querétaro	Querétaro	
1148	PER	Maximiliano	Maximiliano	Maximiliano I de México	
1174	LOC	Salao	Salao	Salao	
1198	LOC	Guanainato	Guanajuato	Guanajuato	
1419	PER	Tinding	Tinding	Tinding	
1463	PER	Tinding	Tinding	Tinding	
1467	PER	Pepe	Pepe	Pepe	
1505	LOC	Pako	Pako	Pako	
1521	PER	Tinding	Tinding	Tinding	
1527	PER	Pepe	Pepe	Pepe	
1550	LOC	Hongkong	Hongkong	Hongkong	
1555	LOC	Manila	Manila	Manila	
1561	PER	Tinding	Tinding	Tinding	
1568,1569	PER	FELISBERTA SOLIONGKO.	Felisberta Soliongko	Felisberta Soliongko	
1641	LOC	Marfil	Marfil	Marfil	
1656	LOC	Guanajuato	Guanajuato	Guanajuato	
1662	LOC	Marfil	Marfil	Marfil	
1673	LOC	FILIPINAS	Filipinas	Filipinas	
1687,1688,1689	MISC	PUERTA DEL SOL	Puerta del Sol	Puerta del Sol	
2346	LOC	México	México	México	
2351	LOC	Guanajuato	Guanajuato	Guanajuato	
2546	ORG	Pátria	Patria	Patria	
2563	MISC	FILIPINAS	Filipinas	Filipinas	
2580,2581,2582	LOC	S . Paulo	S . Paulo	S. Paulo	
2584	LOC	Brasil	Brasil	Brasil	
2745	MISC	MUJER	MUJER	Mujer	
3035,3036	LOC	costa Shetland	Shetland	Shetland	
3192	LOC	Shetland	Shetland	Shetland	
3246,3247	PER	Amalia Francisco	Amalia Francisco	Amalia Francisco	
3249,3250	PER	Genoveva Camaclan	Genoveva Camaclan	Genoveva Camaclan	
