embeddings	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
1,2,3	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
61,62	LOC	puerto Rico	Puerto Rico	Puerto Rico	
67,68,69	MISC	Knoler s ampel	Knoler s ampel	Knoler s ampel	
92,93	PER	T. AGUILAR	T. Aguilar	T. Aguilar	
103	LOC	Humaca	Humaca	Humaca	
164,165,166,167	ORG	HERALDO DE LA MUJER	Heraldo de la Mujer	Heraldo de la Mujer	
182,183	LOC	SAN JUAN	San Juan	San Juan	
192,193	MISC	TRA FALDAS	TRA FALDAS	Tra Faldas	
262,263,264	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
266,267,268,269	MISC	HERALDO DE LA MUJER	Heraldo de la Mujer	Heraldo de la Mujer	
336,337	PER	ISERN BENITEZ	ISERN BENITEZ	Isern Benitez	
344	PER	HERNANDEZ	HERNANDEZ	Hernandez	
432,433	LOC	Puerto Rico	Puerto Rico	Puerto Rico	
475,476,477	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
490,491,492	MISC	Balsamo No I	Balsamo No I	Balsamo No I	
528,529,530	PER	Ana Roqué de Duprey	A. C. ROQUE	Ana Roque de Duprey	Q4750492
532,533	LOC	hotel Nacional	hotel Nacional	hotel Nacional	
535,536	LOC	San Juan	San Juan	San Juan	
544,545,546	MISC	Boletín Histórico de	Boletín Histórico de Puerto Rico	Boletín Histórico de Puerto Rico	
547,548	LOC	P. R.	Puerto Rico	Puerto Rico	
550	MISC	LEVADURA	LEVADURA	Levadura	
578,579,580	MISC	Royal Baking Pouder	Royal Baking Powder	Royal Baking Powder	
584,585	MISC	HERALDO DE	Heraldo de la Mujer	Heraldo de la Mujer	
586,587	ORG	LA MUJER	La Mujer Moderna	La Mujer Moderna	
589,590,591	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
603,604,605	MISC	ROYAL BARING POUDER	Royal Baking Powder	Royal Baking Powder	
643,644	MISC	ROTAL BARING	Royal Baking Powder	Royal Baking Powder	
654	MISC	RONAL	Ronal	Ronal	
662,663	MISC	la Ciernanse	la Ciernanse	la Ciernanse	
710,711,712,713,714,715,716	MISC	El Manual Roval del Panadero y pastelero	Manual Royal del Panadero y Pastelero	Manual Royal del Panadero y Pastelero	
743	ORG	Ua	Ua	Ua	
752	MISC	Royal	Royal	Royal	
763,764	MISC	RONAL BARING	Royal Baking Powder	Royal Baking Powder	
765,766	ORG	PONDER CO	PONDER CO	Ponder Co	
768,769	LOC	New York	Nueva York	Nueva York	
771	LOC	USA	USA	Usa	
777,778,779,780	MISC	HILIALDO DE LA MUEL	Heraldo de la Mujer	Heraldo de la Mujer	
784,785,786	ORG	Revista Quincenal Bilingue	Revista Quincenal Bilingue	Revista Quincenal Bilingue	
789,790,791,792,793,794	MISC	de los Derechos de la Mujer	Defensora de los Derechos de la Mujer	Revista Mensual Defensora de los Derechos de la Mujer	
799,800,801,802	PER	Ana Roqué de Duprey	Ana Roqué de Duprey	Ana Roque de Duprey	Q4750492
805	ORG	ENCLISA	ENCLISA	Enclisa	
809,810,811	PER	Geraldine Maud Froscher	Geralaine Mana Froscher	Geraldine Maud Froscher	
869	LOC	HUMACAO	Humaca	Humaca	
908	LOC	Humacao	Humaca	Humaca	
911,912	MISC	D. R.	D. R.	R.	
924,925,926,927	PER	Ana Roqué de Duprey	Ana Roqué de Duprey	Ana Roque de Duprey	Q4750492
931,932,933	PER	JOSEFA AGUAYO VENTURA	JOSEFA AGUAYO VENTURA	Josefa Aguayo Ventura	
935,936	MISC	La Redacción	DE LA REDACCIÓN	De la Redacción	
938,939,940,941	MISC	EMPRESTITO DE LA VICTORIA	EMPRESTITO DE LA VICTORIA	Emprestito de la Victoria	
944,945	PER	Alfredo Conzález	Alfredo Conzález	Alfredo González	
