Source,Target,Type,Weight,Label,revista
revista_femina,persona_a_estévez,Undirected,1,Femina — A. Estévez,Femina
revista_femina,persona_a_pecuero_hijo,Undirected,1,Femina — A. PECUERO HIjO,Femina
revista_femina,persona_a_peguero,Undirected,3,Femina — A. Peguero,Femina
revista_femina,persona_a_peña_batle,Undirected,1,Femina — A. Peña Batle,Femina
revista_femina,persona_a_r_nanita,Undirected,1,Femina — A. R. Nanita,Femina
revista_femina,persona_a_scaroina,Undirected,1,Femina — A. Scaroina,Femina
revista_femina,persona_a_de_lora,Undirected,1,Femina — A. de Lora,Femina
revista_femina,persona_abelardo,Undirected,1,Femina — Abelardo,Femina
revista_femina,persona_abella,Undirected,1,Femina — Abella,Femina
revista_femina,persona_adams_nieva,Undirected,1,Femina — Adams Nieva,Femina
revista_femina,persona_adela_bobea,Undirected,2,Femina — Adela Bobea,Femina
revista_femina,persona_adela_ruiz_hidalgo,Undirected,1,Femina — Adela Ruiz Hidalgo,Femina
revista_femina,persona_adelaida_cabete,Undirected,1,Femina — Adelaida Cabete,Femina
revista_femina,persona_adelaida_de_perez,Undirected,1,Femina — Adelaida de Perez,Femina
revista_femina,persona_adena_gonzalez,Undirected,1,Femina — Adena Gonzalez,Femina
revista_femina,persona_adolfo,Undirected,1,Femina — Adolfo,Femina
revista_femina,persona_Q163612,Undirected,2,Femina — Adolfo Alejandro Nouel,Femina
revista_femina,persona_Q163920,Undirected,1,Femina — Adonis,Femina
revista_femina,persona_Q263812,Undirected,1,Femina — Agnodice,Femina
revista_femina,persona_aha_de_llodrá,Undirected,1,Femina — Aha de Llodrá,Femina
revista_femina,persona_aibar,Undirected,1,Femina — Aibar,Femina
revista_femina,persona_aidar,Undirected,1,Femina — Aidar,Femina
revista_femina,persona_alberto_sánchez,Undirected,1,Femina — Alberto Sánchez,Femina
revista_femina,persona_alburqueque,Undirected,1,Femina — Alburqueque,Femina
revista_femina,persona_alejandro_cabrera_reyes,Undirected,2,Femina — Alejandro Cabrera Reyes,Femina
revista_femina,persona_alejandro_carrera,Undirected,1,Femina — Alejandro Carrera,Femina
revista_femina,persona_alejandro_fuenmayor,Undirected,1,Femina — Alejandro Fuenmayor,Femina
revista_femina,persona_Q8409,Undirected,1,Femina — Alejandro Magno,Femina
revista_femina,persona_Q34286,Undirected,1,Femina — Alexander Graham Bell,Femina
revista_femina,persona_alfonsina_m_de_rodríguez,Undirected,2,Femina — Alfonsina M. de Rodríguez,Femina
revista_femina,persona_Q238557,Undirected,1,Femina — Alfonsina Storni,Femina
revista_femina,persona_alfonso,Undirected,2,Femina — Alfonso,Femina
revista_femina,persona_Q18363,Undirected,1,Femina — Alfonso XIII de España,Femina
revista_femina,persona_Q179680,Undirected,2,Femina — Alfred de Musset,Femina
revista_femina,persona_alice_larde,Undirected,2,Femina — Alice Larde,Femina
revista_femina,persona_alicia_moreau,Undirected,1,Femina — Alicia Moreau,Femina
revista_femina,persona_Q944201,Undirected,9,Femina — Alonso Quijano,Femina
revista_femina,persona_altagracia,Undirected,1,Femina — Altagracia,Femina
revista_femina,persona_altagracia_aryste_de_alvarez,Undirected,1,Femina — Altagracia Aryste de Alvarez,Femina
revista_femina,persona_altagracia_aurelia,Undirected,1,Femina — Altagracia Aurelia,Femina
revista_femina,persona_altagracia_brea_de_sanó,Undirected,1,Femina — Altagracia Brea de Sanó,Femina
