Id,Label,node_type,wikidata_qid
revista_femina,Femina,revista,
revista_filipinas,Filipinas,revista,
revista_heraldo,Heraldo,revista,
persona__mapagsikap,. Mapagsikap,persona,
persona_a_camesie,A. Camesie,persona,
persona_a_estévez,A. Estévez,persona,
persona_a_f_de_m_ateme,A. F. de M. Ateme,persona,
persona_a_pecuero_hijo,A. PECUERO HIjO,persona,
persona_a_peguero,A. Peguero,persona,
persona_a_peña_batle,A. Peña Batle,persona,
persona_a_r_nanita,A. R. Nanita,persona,
persona_a_scaroina,A. Scaroina,persona,
persona_a_de_lora,A. de Lora,persona,
persona_abelardo,Abelardo,persona,
persona_abella,Abella,persona,
persona_abilda_de_ndo,Abilda de Ndo,persona,
persona_abraham_lincoln,Abraham Lincoln,persona,
persona_acosta,Acosta,persona,
persona_adams_nieva,Adams Nieva,persona,
persona_adano,Adano,persona,
persona_adela_astol,Adela Astol,persona,
persona_adela_bobea,Adela Bobea,persona,
persona_adela_ruiz_hidalgo,Adela Ruiz Hidalgo,persona,
persona_adelaida_cabete,Adelaida Cabete,persona,
persona_adelaida_de_perez,Adelaida de Perez,persona,
persona_adena_gonzalez,Adena Gonzalez,persona,
persona_adolfo,Adolfo,persona,
persona_Q163612,Adolfo Alejandro Nouel,persona,Q163612
persona_Q163920,Adonis,persona,Q163920
persona_Q70899,Adán,persona,Q70899
persona_Q4690359,Afrânio Peixoto,persona,Q4690359
persona_Q263812,Agnodice,persona,Q263812
persona_agones,Agones,persona,
persona_Q718272,Agustina de Aragón,persona,Q718272
persona_agustín_almonte,Agustín Almonte,persona,
persona_aha_de_llodrá,Aha de Llodrá,persona,
persona_aibar,Aibar,persona,
persona_aidar,Aidar,persona,
persona_Q3260275,Aimé Martin,persona,Q3260275
persona_alan_derrer,Alan derrer,persona,
persona_alane,Alane,persona,
persona_Q1345910,Albert Londres,persona,Q1345910
persona_Q125687236,Albert Sanjurjo Vidal,persona,Q125687236
persona_alberto_sánchez,Alberto Sánchez,persona,
persona_Q152245,Alberto de Sajonia-Coburgo-Gotha,persona,Q152245
persona_alburqueque,Alburqueque,persona,
persona_alda,Alda,persona,
persona_alejandro_cabrera_reyes,Alejandro Cabrera Reyes,persona,
persona_alejandro_carrera,Alejandro Carrera,persona,
persona_alejandro_fuenmayor,Alejandro Fuenmayor,persona,
persona_Q8409,Alejandro Magno,persona,Q8409
persona_Q34286,Alexander Graham Bell,persona,Q34286
persona_alfonsina_m_de_rodríguez,Alfonsina M. de Rodríguez,persona,
persona_Q238557,Alfonsina Storni,persona,Q238557
persona_alfonso,Alfonso,persona,
persona_Q18363,Alfonso XIII de España,persona,Q18363
persona_Q23810,Alfred Nobel,persona,Q23810
persona_Q179680,Alfred de Musset,persona,Q179680
