revista	persona	wikidata_qid	entity_original_clean
Femina	Petronila Angélica Gómez	Q41564582	Petronila Angélica Gómez
Femina	Valera Reyes		Valera Reyes
Femina	Petronila Angélica Gómez	Q41564582	Petronila Angélica Gómez
Femina	Consuelo Montalvo de Frías		Consuelo Montalvo de Frías
Femina	María Luisa Angelis de Canino		María Luisa Angelis de Canino
Femina	María del Mar Caribe		María del Mar Caribe
Femina	Petronila Angélica Gómez	Q41564582	Petronila Angélica Gómez
Femina	Minerva	Q6864471	Minerva
Femina	Moisés	Q9077	Moses
Femina	Consuelo Montalvo de Frías		Consuelo Montalvo de Frías
Femina	Patín Maceo Veloz		Patín Maceo Veloz
Femina	Fabio Fiallo	Q5854181	Fabio Fiallo
Femina	Fabio Fiallo	Q5854181	Fabio Fiallo
Femina	Dulcinea del Toboso	Q1264776	Dulcinea
Femina	Miguel A. Guerrero		Miguel A. Guerrero
Femina	Valera Reyes		Valera Reyes
Femina	Victor M. Geraldino		Victor M. Geraldino
Femina	Cheita Ricart		Cheita Ricart
Femina	Manuel Alfaro Reyes		Manuel Alfaro Reyes
Femina	Manuel Mallen Isambert		Manuel Mallen Isambert
Femina	Lelé Guerra		Lelé Guerra
Femina	Macosana		Macosana
Femina	Himeneo		Himeneo
Femina	Manuel F. Leonor		Manuel F. Leonor
Femina	Mélida Mercado		Mélida Mercado
Femina	Alfonso		Alfonso
Femina	Miguel Rodríguez O.		Miguel Rodríguez O.
Femina	Alfonsina M. de Rodríguez		Alfonsina M. de Rodríguez
Femina	Luis Amiama		Luis Amiama
Femina	A. Scaroina		A. Scaroina
Femina	Anacaona Moscoso Puello	Q111378870	Anacaona Moscoso Puello
Femina	Patín Maceo Veloz		Patín Maceo Veloz
Femina	Jorge Pou		Jorge Pou
Femina	Delcilida Fiallo		Delcilida Fiallo
Femina	Manuel A. Patín Maceo		Manuel A. Patín Maceo
Femina	Salvador González Escalona	Q1811330	Salvador Gonzáles Escalona
Femina	José de Jesús Frómeta		José de Jesús Frómeta
Femina	Natalia Angélica García		Natalia Angélica García
Femina	E. C. Leschhorn		E. C. Leschhorn
Femina	Evangelina Rodríguez Perozo	Q16565444	Andrea Evangelina Rodríguez Perozo
Femina	Manuel E. Suncar		Manuel E. Suncar
Femina	María Luisa Angelis de Canino		María Luisa Angelis de Canino
Femina	Armando Oscar Pacheco	Q131625582	Armando Oscar Pacheco
Femina	Patín Maceo Veloz		Patín Maceo Veloz
Femina	Petronila Angélica Gómez	Q41564582	Petronila Angélica Gómez
Femina	B. Portela Álvarez		B. Portela Álvarez
Femina	José Martínez Conde		José Martínez Conde
