sentence_id,documento,orden_frase,tema,keyword_detectada,frase_original,frase_normalizada,n_palabras
femina_000007,femina,7,patria,patria,"APARECE esta revista cientificoliteraria y de intereses generales en momentos bien aflictivos para la familia dominicana; aparece cuando sobre el santo suelo de la Patria soplan las ráfagas del mas insólito imperialismo; aparece cuando mas necesaria es una labor de cooperación, y cuando se necesita edificar con acciones y pensamientos de noble civismo y abnegación sin límites.",aparece esta revista cientificoliteraria y de intereses generales en momentos bien aflictivos para la familia dominicana aparece cuando sobre el santo suelo de la patria soplan las rafagas del mas insolito imperialismo aparece cuando mas necesaria es una labor de cooperacion y cuando se necesita edificar con acciones y pensamientos de noble civismo y abnegacion sin limites,57
femina_000007,femina,7,hogar,familia,"APARECE esta revista cientificoliteraria y de intereses generales en momentos bien aflictivos para la familia dominicana; aparece cuando sobre el santo suelo de la Patria soplan las ráfagas del mas insólito imperialismo; aparece cuando mas necesaria es una labor de cooperación, y cuando se necesita edificar con acciones y pensamientos de noble civismo y abnegación sin límites.",aparece esta revista cientificoliteraria y de intereses generales en momentos bien aflictivos para la familia dominicana aparece cuando sobre el santo suelo de la patria soplan las rafagas del mas insolito imperialismo aparece cuando mas necesaria es una labor de cooperacion y cuando se necesita edificar con acciones y pensamientos de noble civismo y abnegacion sin limites,57
femina_000007,femina,7,colonialismo,imperialismo,"APARECE esta revista cientificoliteraria y de intereses generales en momentos bien aflictivos para la familia dominicana; aparece cuando sobre el santo suelo de la Patria soplan las ráfagas del mas insólito imperialismo; aparece cuando mas necesaria es una labor de cooperación, y cuando se necesita edificar con acciones y pensamientos de noble civismo y abnegación sin límites.",aparece esta revista cientificoliteraria y de intereses generales en momentos bien aflictivos para la familia dominicana aparece cuando sobre el santo suelo de la patria soplan las rafagas del mas insolito imperialismo aparece cuando mas necesaria es una labor de cooperacion y cuando se necesita edificar con acciones y pensamientos de noble civismo y abnegacion sin limites,57
femina_000008,femina,8,patria,soberanía,"Verdad es que hasta ahora hemos podido, gracias a nuestra conducta loada con calor por los pueblos hermanos enclavados en el vasto continente colombino, impedir los designios, de la fuerza interventora que ha detentado nuestra preciosa soberanía por mas de seis años de dura servidumbre; cierto que a pesar de nuestra disparidad de criterios y de nuestras lamentables desavenencias en el modus procedendi para la reivindicación de nuestros derechos, hemos mantenido en alto la bandera de la rebeldía cívica; cierto, es verdad, todo ello; pero á nadie se le oculta que si hubiera existido un solo pensamiento, una sola acción para el logro de nuestro anhelo nos hubiésemos ahorrado muchos disgustos y no pocos entorpecimientos que han obrado en nuestro daño.",verdad es que hasta ahora hemos podido gracias a nuestra conducta loada con calor por los pueblos hermanos enclavados en el vasto continente colombino impedir los designios de la fuerza interventora que ha detentado nuestra preciosa soberania por mas de seis anos de dura servidumbre cierto que a pesar de nuestra disparidad de criterios y de nuestras lamentables desavenencias en el modus procedendi para la reivindicacion de nuestros derechos hemos mantenido en alto la bandera de la rebeldia civica cierto es verdad todo ello pero a nadie se le oculta que si hubiera existido un solo pensamiento una sola accion para el logro de nuestro anhelo nos hubiesemos ahorrado muchos disgustos y no pocos entorpecimientos que han obrado en nuestro dano,121
femina_000008,femina,8,colonialismo,soberanía,"Verdad es que hasta ahora hemos podido, gracias a nuestra conducta loada con calor por los pueblos hermanos enclavados en el vasto continente colombino, impedir los designios, de la fuerza interventora que ha detentado nuestra preciosa soberanía por mas de seis años de dura servidumbre; cierto que a pesar de nuestra disparidad de criterios y de nuestras lamentables desavenencias en el modus procedendi para la reivindicación de nuestros derechos, hemos mantenido en alto la bandera de la rebeldía cívica; cierto, es verdad, todo ello; pero á nadie se le oculta que si hubiera existido un solo pensamiento, una sola acción para el logro de nuestro anhelo nos hubiésemos ahorrado muchos disgustos y no pocos entorpecimientos que han obrado en nuestro daño.",verdad es que hasta ahora hemos podido gracias a nuestra conducta loada con calor por los pueblos hermanos enclavados en el vasto continente colombino impedir los designios de la fuerza interventora que ha detentado nuestra preciosa soberania por mas de seis anos de dura servidumbre cierto que a pesar de nuestra disparidad de criterios y de nuestras lamentables desavenencias en el modus procedendi para la reivindicacion de nuestros derechos hemos mantenido en alto la bandera de la rebeldia civica cierto es verdad todo ello pero a nadie se le oculta que si hubiera existido un solo pensamiento una sola accion para el logro de nuestro anhelo nos hubiesemos ahorrado muchos disgustos y no pocos entorpecimientos que han obrado en nuestro dano,121
femina_000011,femina,11,colonialismo,ocupante,"La única identidad nuestra solo ha consistido en oponer como infranqueable valor a los aviesos tanteos del ocupante, nuestra rotunda negativa.",la unica identidad nuestra solo ha consistido en oponer como infranqueable valor a los aviesos tanteos del ocupante nuestra rotunda negativa,21
femina_000012,femina,12,patria,pueblo,Somos el pueblo ...,somos el pueblo,3
femina_000015,femina,15,mujer,mujer,"Pero a nuestro entender eso no basta, ya, preciso procurar poner en juego nuestras actividades colectivas con una orientación exclusiva y absoluta; es preciso tratar de que no haya un solo elemento social que permanezca inactivo en la ardua tarea de romper nuestras cadenas, y de ahí que hayamos concebido el propósito de publicar una revista en que, laborando por la unificación nacional, ofrezca ancho campo a la mujer dominicana, para que tan poderoso agente produzca sin el menor estorbo, su acción fecunda y bienhechora.",pero a nuestro entender eso no basta ya preciso procurar poner en juego nuestras actividades colectivas con una orientacion exclusiva y absoluta es preciso tratar de que no haya un solo elemento social que permanezca inactivo en la ardua tarea de romper nuestras cadenas y de ahi que hayamos concebido el proposito de publicar una revista en que laborando por la unificacion nacional ofrezca ancho campo a la mujer dominicana para que tan poderoso agente produzca sin el menor estorbo su accion fecunda y bienhechora,85
femina_000015,femina,15,patria,nacional,"Pero a nuestro entender eso no basta, ya, preciso procurar poner en juego nuestras actividades colectivas con una orientación exclusiva y absoluta; es preciso tratar de que no haya un solo elemento social que permanezca inactivo en la ardua tarea de romper nuestras cadenas, y de ahí que hayamos concebido el propósito de publicar una revista en que, laborando por la unificación nacional, ofrezca ancho campo a la mujer dominicana, para que tan poderoso agente produzca sin el menor estorbo, su acción fecunda y bienhechora.",pero a nuestro entender eso no basta ya preciso procurar poner en juego nuestras actividades colectivas con una orientacion exclusiva y absoluta es preciso tratar de que no haya un solo elemento social que permanezca inactivo en la ardua tarea de romper nuestras cadenas y de ahi que hayamos concebido el proposito de publicar una revista en que laborando por la unificacion nacional ofrezca ancho campo a la mujer dominicana para que tan poderoso agente produzca sin el menor estorbo su accion fecunda y bienhechora,85
femina_000016,femina,16,mujer,mujer,"La mujer nuestra, deseosa de arrimar el hombro á la causa nacional, solo ha podido hasta el presente prestar una ayuda material y secundaria, cuando bien podría con su inteligencia difundir virtud y cultura en las masas populares.",la mujer nuestra deseosa de arrimar el hombro a la causa nacional solo ha podido hasta el presente prestar una ayuda material y secundaria cuando bien podria con su inteligencia difundir virtud y cultura en las masas populares,38
