sentence_id,documento,orden_frase,tema,keyword_detectada,frase_original,frase_normalizada,n_palabras
filipinas_000002,filipinas,2,mujer,mujer,"DEDICADO EXCLUSIVAMENTE A LA MUJER La mujer sabla edifica de la nada su casa; mas la mujer Insensata lejos de edificar una casa que no existe, destruye con sus manos la que existe ya. (Prov.",dedicado exclusivamente a la mujer la mujer sabla edifica de la nada su casa mas la mujer insensata lejos de edificar una casa que no existe destruye con sus manos la que existe ya prov,35
filipinas_000002,filipinas,2,hogar,casa,"DEDICADO EXCLUSIVAMENTE A LA MUJER La mujer sabla edifica de la nada su casa; mas la mujer Insensata lejos de edificar una casa que no existe, destruye con sus manos la que existe ya. (Prov.",dedicado exclusivamente a la mujer la mujer sabla edifica de la nada su casa mas la mujer insensata lejos de edificar una casa que no existe destruye con sus manos la que existe ya prov,35
filipinas_000009,filipinas,9,mujer,mujer,"LA EDUCACION Y LA ENSEÑANZA EN LA MUJER Es imposible poner en duda la incompatibilidad de principios que constituyen la educación, porque si bien es cierto que en nuestros colegios se enseña el catecismo, se hacen aprender de memorin tratados de ética, también lo que es que las costumbres están en contradicción en los preceptos más generales de la verdadera moralidad.",la educacion y la ensenanza en la mujer es imposible poner en duda la incompatibilidad de principios que constituyen la educacion porque si bien es cierto que en nuestros colegios se ensena el catecismo se hacen aprender de memorin tratados de etica tambien lo que es que las costumbres estan en contradiccion en los preceptos mas generales de la verdadera moralidad,61
filipinas_000009,filipinas,9,educacion,educación,"LA EDUCACION Y LA ENSEÑANZA EN LA MUJER Es imposible poner en duda la incompatibilidad de principios que constituyen la educación, porque si bien es cierto que en nuestros colegios se enseña el catecismo, se hacen aprender de memorin tratados de ética, también lo que es que las costumbres están en contradicción en los preceptos más generales de la verdadera moralidad.",la educacion y la ensenanza en la mujer es imposible poner en duda la incompatibilidad de principios que constituyen la educacion porque si bien es cierto que en nuestros colegios se ensena el catecismo se hacen aprender de memorin tratados de etica tambien lo que es que las costumbres estan en contradiccion en los preceptos mas generales de la verdadera moralidad,61
filipinas_000009,filipinas,9,educacion,enseñanza,"LA EDUCACION Y LA ENSEÑANZA EN LA MUJER Es imposible poner en duda la incompatibilidad de principios que constituyen la educación, porque si bien es cierto que en nuestros colegios se enseña el catecismo, se hacen aprender de memorin tratados de ética, también lo que es que las costumbres están en contradicción en los preceptos más generales de la verdadera moralidad.",la educacion y la ensenanza en la mujer es imposible poner en duda la incompatibilidad de principios que constituyen la educacion porque si bien es cierto que en nuestros colegios se ensena el catecismo se hacen aprender de memorin tratados de etica tambien lo que es que las costumbres estan en contradiccion en los preceptos mas generales de la verdadera moralidad,61
filipinas_000009,filipinas,9,educacion,colegios,"LA EDUCACION Y LA ENSEÑANZA EN LA MUJER Es imposible poner en duda la incompatibilidad de principios que constituyen la educación, porque si bien es cierto que en nuestros colegios se enseña el catecismo, se hacen aprender de memorin tratados de ética, también lo que es que las costumbres están en contradicción en los preceptos más generales de la verdadera moralidad.",la educacion y la ensenanza en la mujer es imposible poner en duda la incompatibilidad de principios que constituyen la educacion porque si bien es cierto que en nuestros colegios se ensena el catecismo se hacen aprender de memorin tratados de etica tambien lo que es que las costumbres estan en contradiccion en los preceptos mas generales de la verdadera moralidad,61
filipinas_000010,filipinas,10,educacion,educación,"La educación pues, que se dá á la niña es más incompleta, si cabe, que la dada á los niños, á nesar de que ella necesita más fortificar su débil razón para que pudiese portarse con verdadero discernimiento.",la educacion pues que se da a la nina es mas incompleta si cabe que la dada a los ninos a nesar de que ella necesita mas fortificar su debil razon para que pudiese portarse con verdadero discernimiento,38
filipinas_000011,filipinas,11,mujer,mujer,"A más de ser incompleta, es contradictoria de todo punto con la conducta que debe segnir en el mundo, de suerte que la mujer entra en la vida relativa cabalmente con todas las ideas contrarias á la realidad de su dostino; y únienmente la vanidad, que es un cualidad natural de la mujer y que bien cultivada podría ser origen de grandes virtudes y abnegaciones se fomenta con exageración haciendo pasar á la niña los límites que podrían convenir á su felicidad y á la de los séres que la rodean en el seno de la familia.",a mas de ser incompleta es contradictoria de todo punto con la conducta que debe segnir en el mundo de suerte que la mujer entra en la vida relativa cabalmente con todas las ideas contrarias a la realidad de su dostino y unienmente la vanidad que es un cualidad natural de la mujer y que bien cultivada podria ser origen de grandes virtudes y abnegaciones se fomenta con exageracion haciendo pasar a la nina los limites que podrian convenir a su felicidad y a la de los seres que la rodean en el seno de la familia,97
filipinas_000011,filipinas,11,hogar,familia,"A más de ser incompleta, es contradictoria de todo punto con la conducta que debe segnir en el mundo, de suerte que la mujer entra en la vida relativa cabalmente con todas las ideas contrarias á la realidad de su dostino; y únienmente la vanidad, que es un cualidad natural de la mujer y que bien cultivada podría ser origen de grandes virtudes y abnegaciones se fomenta con exageración haciendo pasar á la niña los límites que podrían convenir á su felicidad y á la de los séres que la rodean en el seno de la familia.",a mas de ser incompleta es contradictoria de todo punto con la conducta que debe segnir en el mundo de suerte que la mujer entra en la vida relativa cabalmente con todas las ideas contrarias a la realidad de su dostino y unienmente la vanidad que es un cualidad natural de la mujer y que bien cultivada podria ser origen de grandes virtudes y abnegaciones se fomenta con exageracion haciendo pasar a la nina los limites que podrian convenir a su felicidad y a la de los seres que la rodean en el seno de la familia,97
filipinas_000014,filipinas,14,mujer,mujer,"El hombre, á medida que las ideas de justicia se vayan abriendo paso en el fondo oscuro de la conciencia, elevará á la mujer al pedestal que la corresponde: hará que la niña se instruya y se eduque conforme á su destino incumba; hará que la madre, primer agente poderoso de la moralidad social, hay recibido todos los conocimientos y conceptos que necesita para que su influencia en la niña, en el niño y en el hombre tenga toda la eficacia y trascendencia que la reputan posible.",el hombre a medida que las ideas de justicia se vayan abriendo paso en el fondo oscuro de la conciencia elevara a la mujer al pedestal que la corresponde hara que la nina se instruya y se eduque conforme a su destino incumba hara que la madre primer agente poderoso de la moralidad social hay recibido todos los conocimientos y conceptos que necesita para que su influencia en la nina en el nino y en el hombre tenga toda la eficacia y trascendencia que la reputan posible,87
