sentence_id,documento,orden_frase,frase_original
heraldo_000001,heraldo,1,"Ayuntamiento de Madrid Te CIO de el Estada por la A, pograta, mumaA La mas materna a la maen, P."
heraldo_000002,heraldo,2,R.
heraldo_000003,heraldo,3,N No mo ESPINOLENGLIS Sra.
heraldo_000004,heraldo,4,Toseta anano de entura COMPOSITORA Y PIANISTA PUERTORRIQUENA.
heraldo_000005,heraldo,5,"DOS MIL INSTRUMENTOS vendidos en vente anos de representación seguran el Cuanpronato en puerto Rico de la acreditada marca Knoler s ampel, de fama mundial. acabo de recibre 15 instrumentos y uno de ellos puede ser suvo."
heraldo_000006,heraldo,6,Dirijase a T.
heraldo_000007,heraldo,7,AGUILAR.
heraldo_000008,heraldo,8,"Luna él, La mejor de Humaca y la más moderna."
heraldo_000009,heraldo,9,"Este taller cuenta con todo lo necesario para hacer sus trabajos completemente impios y elegantes, con rapiden y a cualquier hora que se degre. siendo la primera en establecer las competencia, no hay nadie que compita con sus precios. impresos a varias tintas es nuestra especialidad."
heraldo_000010,heraldo,10,HERALDO DE LA MUJER rrere Feres reFe FILIPINILA ANGELICINAS FARIS BAZAR.
heraldo_000011,heraldo,11,P.
heraldo_000012,heraldo,12,GUSTI Co.
heraldo_000013,heraldo,13,SAN JUAN PR instantemente recibimos las últimas novedades en TRA FALDAS.
heraldo_000014,heraldo,14,IMONAS.
heraldo_000015,heraldo,15,"SAS, CORSETS."
heraldo_000016,heraldo,16,BATAS Y SOMBREROS.
heraldo_000017,heraldo,17,De los filtimos estilos y modelos de gran fantasía.
heraldo_000018,heraldo,18,En ropa interior tenemos un buen surtido.
heraldo_000019,heraldo,19,Especialidad en Camisas de Hilo Españolas Bordadas y cosidas a mano.
heraldo_000020,heraldo,20,Gran variedad en objetos para Regalos rrera rrera CORRETRONISTRACIALACE N Fianos y HIGRATOS IIFUURAFIA VICIURIA 2 ES.
heraldo_000021,heraldo,21,Ayuntamiento de Madrid HERALDO DE LA MUJER QUULO JUU HIPIII.
heraldo_000022,heraldo,22,ALIII. a vor drugestorre connecons or despreadatienal facilities THE inviles von to become one oí ts patrons.
heraldo_000023,heraldo,23,"Situated in the heart of the civ, managed bo he moste expert ngarmacist of his districandusingonl best drugs obtamable, his Pharmaco is speciall fited to fil vor prescriptions, of hich me mate a specialito."
heraldo_000024,heraldo,24,ISERN BENITEZ.
heraldo_000025,heraldo,25,HIMERICAIN FIARIMA on NOYA HERNANDEZ ST.
heraldo_000026,heraldo,26,ESELLAS SABISABRABAS MERA PRIMER.
heraldo_000027,heraldo,27,RIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII.
heraldo_000028,heraldo,28,Sufre Usted de Dolor de Cabeza.
heraldo_000029,heraldo,29,IIII.
heraldo_000030,heraldo,30,MENT.
heraldo_000031,heraldo,31,"N EN la muun Y I Ne ER las mane ro mente las compano, las FUER REDRE."
heraldo_000032,heraldo,32,"Se acabaron los calos — a muerenerales. le: En la mo una una en el anuestra es una puenas ma ener melas en gustos de la mana, as, aguaman sanEs la historia de Puerto Rico en vominos enaternos puertes, potantos prinesepernuestrador pre caretano cel rue rado en no pues la linado."
heraldo_000033,heraldo,33,En una las de un madre de umila puertorrieneno debe estar.
heraldo_000034,heraldo,34,"Los que lo descen quiene a esta Redacción Ayuntamiento de Madrid Maravillosa preparación inofensiva, hecha con plantas del país."
heraldo_000035,heraldo,35,Balsamo No I. 2 y 3.
heraldo_000036,heraldo,36,"Las damas que pierden el S cabello con frecuencia, y que quieran lucir una hermosa cabellera, y el que quiera combatir la calvicie, dirijase al señor A."
heraldo_000037,heraldo,37,C.
heraldo_000038,heraldo,38,"ROQUE, hotel Nacional, San Juan, y los dejará complacidos."
heraldo_000039,heraldo,39,Boletín Histórico de P.
heraldo_000040,heraldo,40,R.
heraldo_000041,heraldo,41,LEVADURA EN POLVO A Una preparación perfecta para mejorar todos los alimentos hechos con harina.
heraldo_000042,heraldo,42,De venta en todas las bodegas.
heraldo_000043,heraldo,43,La famosa Royal Baking Pouder americana.
heraldo_000044,heraldo,44,"HERALDO DE LA MUJER Ayuntamiento de Madrid Hace el Hornear en Casa raciCon el auxilio de la ROYAL BARING POUDER se pueden hacer en casa pones y pacimente muras hermanos panecios pasata, el apreciosos y anos de tores que los que pueden comprane en las parecer."
heraldo_000045,heraldo,45,Convencanse probando la receta siguiente.
heraldo_000046,heraldo,46,"BICOCHOS ROTAL BARING PODER anas de harina encaradas de manera otra GRA RONAL mas APINASE la de leche Panarada de la Ciernanse juntos los ingredientes secos agreguesele la manteca y otra grasa y ener la este sumanes por agres una a a que meras en las cos mas cana aurorada de marnada, en a mora, en arcano pensana va por en estente de en es nos El Manual Roval del Panadero y pastelero, conteniendo muenas otras recenas de enviara por correo gratis a toda persona que nos mande su nombre y rección."
heraldo_000047,heraldo,47,"Si la bodega donde Ua, compra no vende la levadura en polvo Royal, escribanos y de airemos donde puede conseguiria."
heraldo_000048,heraldo,48,"RONAL BARING PONDER CO, New York, USA."
heraldo_000049,heraldo,49,"N E HILIALDO DE LA MUEL ANTES ALBUM PUERTORRIQUENO Revista Quincenal Bilingue, Defensora de los Derechos de la Mujer DIRECTORA ADMINISTRADORA.—Ana Roqué de Duprey."
heraldo_000050,heraldo,50,ENCLISA EDITOR.
heraldo_000051,heraldo,51,Geraldine Maud Froscher.
heraldo_000052,heraldo,52,"R — EMALas autorracias y democracias a medias, están condenadas a desaparecer baridas por el humano progreso."
heraldo_000053,heraldo,53,S — — ANUNCIOS—l página................. 8900 SUESTRIPCION.—Un trimestre (pago adelantado. 505 un erene 19 un ju santener 19 A L. a merece.
heraldo_000054,heraldo,54,"HUMACAO, P."
heraldo_000055,heraldo,55,R.
heraldo_000056,heraldo,56,ABRIL 15 DE 1919.
heraldo_000057,heraldo,57,Año II.
heraldo_000058,heraldo,58,A N R. las una es de alma.
heraldo_000059,heraldo,59,"Entered as second clas maller lune 15, 1918 at he Post ofice al Humacao."
heraldo_000060,heraldo,60,D.
heraldo_000061,heraldo,61,R.
heraldo_000062,heraldo,62,Laces.
heraldo_000063,heraldo,63,S.
heraldo_000064,heraldo,64,SUMARIO 2 NUESTRO STATOS POLITICO............................
heraldo_000065,heraldo,65,Ana Roqué de Duprey Dña.
heraldo_000066,heraldo,66,JOSEFA AGUAYO VENTURA...............................
heraldo_000067,heraldo,67,La Redacción EL EMPRESTITO DE LA VICTORIA.............................
heraldo_000068,heraldo,68,Alfredo Conzález TODO EL MUNDO DESPERTA.........................
heraldo_000069,heraldo,69,Ana Roqué de Duprey ROMANCITO................... poesía...............
heraldo_000070,heraldo,70,Fidela M. de Rodríguez ENGLISH SECTION IN THE UNITED STATES........................
heraldo_000071,heraldo,71,INTERNATIONAL WOMANS SUFERACE. he ray lad.
heraldo_000072,heraldo,72,Davia oray AMONO WOMAN OS LATIN COUNTRIES.............................. y cerardine Mala roscher Representantes de Heraldo de la Mujer.............................
heraldo_000073,heraldo,73,Redacción MUNDIAL..............................
heraldo_000074,heraldo,74,Ateme JOCIAL..............................
heraldo_000075,heraldo,75,Margarita de brado PLUMAZOS.................
heraldo_000076,heraldo,76,Ayuntamiento de Madrid HERALDO DE LA MUJER.
heraldo_000077,heraldo,77,S.
heraldo_000078,heraldo,78,"HaNUESTRO STATUS POLITICO F L Todo pueblo digno aspira á su independencia, eso es maudable."
heraldo_000079,heraldo,79,"Hay en Puerto Rico un partido independentista, consrido ener mayor parte porios estunantes de seamos superes la juventun por lo general no tiene la razón aturada por la muerener sustenta cas siempre desramente sin derecreer ensurar en el muina. fueron como mo uno de los nues de la puntacena, para el en ensa naturamente tenemos la muerenen en elenar pero nuestra capera mues que los que contienes muere miro por entre estra Auerra aurosotra que la mercanas. vamos ver lo que na buque en puerto men este raramiento de las tras nemente."
heraldo_000080,heraldo,80,"Primeramente las palabras de la que presea porosas parte en derecho que tienen unos los pueblos de la era las prenta terminaciona Vicas, el misterar nuestra suncion económica. que esta bocada ponersamente de esas ma. buenaremos las espeindudablemente la guerra la presuerto el alga de los precios en los muretos de primera nuesiadpero la guerra ha terminado y el menos un han el pnero de peque las presiones que se maneparan por mar. actores que mar paratos puras las manos de empela despara Europa, pero empena punto en las una canas mujeres que de manera santenara los melas de los arrentos mas necesarios para la vida, empelamenteras."
