sentence_id,documento,orden_frase,tema,keyword_detectada,frase_original,frase_normalizada,n_palabras,n_positivo,n_negativo,polaridad_bruta,polaridad_normalizada,etiqueta_polaridad,palabras_positivas_detectadas,palabras_negativas_detectadas
femina_000355,femina,355,colonialismo,intervención,"FIN l damos credito á las palabras de los ilustres compatriotas que últimamente acudieron a Washing C. ton para solucionar nuestro caso. va la Intervención está tocando a su fin, va el pueblo dominicano, el pueblo mártir y noble, que oponiendo su derecho a la fuerza y la injusticia ha soportado con pasmosa entereza el inmenso dolor de una terrible servidumbre, se halla proximo a gozar del incomparable bien de su libertad en mal hora arrebatada.",fin l damos credito a las palabras de los ilustres compatriotas que ultimamente acudieron a washing c ton para solucionar nuestro caso va la intervencion esta tocando a su fin va el pueblo dominicano el pueblo martir y noble que oponiendo su derecho a la fuerza y la injusticia ha soportado con pasmosa entereza el inmenso dolor de una terrible servidumbre se halla proximo a gozar del incomparable bien de su libertad en mal hora arrebatada,76,3,4,-1,-0.0131578947368421,negativa,bien; libertad; noble,dolor; injusticia; mal; servidumbre
femina_000357,femina,357,colonialismo,imperialismo,"¡Oialá que así sea! ¡Ojalá que, desoyendo la Casa blanca los aviesos consejos del imperialismo, que tanto recelo y desconfianza ha despertado contra los EE.",oiala que asi sea ojala que desoyendo la casa blanca los aviesos consejos del imperialismo que tanto recelo y desconfianza ha despertado contra los ee,25,0,1,-1,-0.04,negativa,,imperialismo
femina_000939,femina,939,colonialismo,estados unidos,"Esta lo saba, y se está preparando a evitar el conflicto o a triunfar de el En el problema dominicano no hay en favorde nosotros sino la débil presión de la opinión pública mundial, tan atemorizada ante la fuerza de los Estados Unidos, que aún no se haatrevido a entrar y a manifestarse oficialmente en los Gabinetes, Ahora es cuando comienza esa opinión a penetrar en la conciencia del pueblo estadunidense y alarmarlo haciéndole sospechar que en su nombre se ha perpetrado un atentado contra el derecho que, en lo porvenir puede hacer daho a sus intereses morales y materiales.",esta lo saba y se esta preparando a evitar el conflicto o a triunfar de el en el problema dominicano no hay en favorde nosotros sino la debil presion de la opinion publica mundial tan atemorizada ante la fuerza de los estados unidos que aun no se haatrevido a entrar y a manifestarse oficialmente en los gabinetes ahora es cuando comienza esa opinion a penetrar en la conciencia del pueblo estadunidense y alarmarlo haciendole sospechar que en su nombre se ha perpetrado un atentado contra el derecho que en lo porvenir puede hacer daho a sus intereses morales y materiales,100,2,4,-2,-0.02,negativa,porvenir; triunfar,conflicto; debil; presion; problema
femina_001883,femina,1883,colonialismo,ocupación,"Con esta medida, no se cometería un error como antes dije, sino que sería muy duro el obligarlas á sustituir su habitual ocupación, por los rutinarios quehaceres domésticos que luego son tan duros! No tendrían pues, derecho, estas jóvenes. a manifestarse adversas al procedimiento del primer gobernante, y a recordar, aunque esto sea penoso decirlo, a los que la han encaminado, emancipándolas de la triste condición á que estaban sometidas: La mujer dominicana, ha dado un gran paso, y sería un crimen arrojar en su camino obstáculos para detenerle su marcha triunfal hacia la representación que en todo país civilizado tiene derecho.",con esta medida no se cometeria un error como antes dije sino que seria muy duro el obligarlas a sustituir su habitual ocupacion por los rutinarios quehaceres domesticos que luego son tan duros no tendrian pues derecho estas jovenes a manifestarse adversas al procedimiento del primer gobernante y a recordar aunque esto sea penoso decirlo a los que la han encaminado emancipandolas de la triste condicion a que estaban sometidas la mujer dominicana ha dado un gran paso y seria un crimen arrojar en su camino obstaculos para detenerle su marcha triunfal hacia la representacion que en todo pais civilizado tiene derecho,102,0,3,-3,-0.0294117647058823,negativa,,duro; obstaculos; triste
femina_000008,femina,8,colonialismo,soberanía,"Verdad es que hasta ahora hemos podido, gracias a nuestra conducta loada con calor por los pueblos hermanos enclavados en el vasto continente colombino, impedir los designios, de la fuerza interventora que ha detentado nuestra preciosa soberanía por mas de seis años de dura servidumbre; cierto que a pesar de nuestra disparidad de criterios y de nuestras lamentables desavenencias en el modus procedendi para la reivindicación de nuestros derechos, hemos mantenido en alto la bandera de la rebeldía cívica; cierto, es verdad, todo ello; pero á nadie se le oculta que si hubiera existido un solo pensamiento, una sola acción para el logro de nuestro anhelo nos hubiésemos ahorrado muchos disgustos y no pocos entorpecimientos que han obrado en nuestro daño.",verdad es que hasta ahora hemos podido gracias a nuestra conducta loada con calor por los pueblos hermanos enclavados en el vasto continente colombino impedir los designios de la fuerza interventora que ha detentado nuestra preciosa soberania por mas de seis anos de dura servidumbre cierto que a pesar de nuestra disparidad de criterios y de nuestras lamentables desavenencias en el modus procedendi para la reivindicacion de nuestros derechos hemos mantenido en alto la bandera de la rebeldia civica cierto es verdad todo ello pero a nadie se le oculta que si hubiera existido un solo pensamiento una sola accion para el logro de nuestro anhelo nos hubiesemos ahorrado muchos disgustos y no pocos entorpecimientos que han obrado en nuestro dano,121,0,7,-7,-0.0578512396694214,negativa,,dano; desavenencias; detentado; dura; lamentables; rebeldia; servidumbre
femina_000048,femina,48,colonialismo,imperialismo,"Ya va para seis años que el vendaval del imperialismo yanqui derribó nuestras instituciones; ya va para seis años q. eclipsado el sol de la soberanía, vivimos a la sombra de la esclavitud doliente y bochornosa; ya ya para seis años q. la Patria, sangrienta y angustiada, llama hora tras hora a la puerta de cada un corazón dominicano, y ya va para seis años que por encima del clamor de un pueblo torturado, y más recia que el resonar de las cadenas y el chasquido del látigo, se oye la voz viril y airada del poeta; la voz de rebeldía del patriota irreductible; la voz de protesta de un hombre que ama la libertad más que la vida.",ya va para seis anos que el vendaval del imperialismo yanqui derribo nuestras instituciones ya va para seis anos q eclipsado el sol de la soberania vivimos a la sombra de la esclavitud doliente y bochornosa ya ya para seis anos q la patria sangrienta y angustiada llama hora tras hora a la puerta de cada un corazon dominicano y ya va para seis anos que por encima del clamor de un pueblo torturado y mas recia que el resonar de las cadenas y el chasquido del latigo se oye la voz viril y airada del poeta la voz de rebeldia del patriota irreductible la voz de protesta de un hombre que ama la libertad mas que la vida,119,2,9,-7,-0.0588235294117647,negativa,libertad; vida,angustiada; bochornosa; cadenas; derribo; doliente; esclavitud; imperialismo; rebeldia; torturado
femina_000048,femina,48,colonialismo,soberanía,"Ya va para seis años que el vendaval del imperialismo yanqui derribó nuestras instituciones; ya va para seis años q. eclipsado el sol de la soberanía, vivimos a la sombra de la esclavitud doliente y bochornosa; ya ya para seis años q. la Patria, sangrienta y angustiada, llama hora tras hora a la puerta de cada un corazón dominicano, y ya va para seis años que por encima del clamor de un pueblo torturado, y más recia que el resonar de las cadenas y el chasquido del látigo, se oye la voz viril y airada del poeta; la voz de rebeldía del patriota irreductible; la voz de protesta de un hombre que ama la libertad más que la vida.",ya va para seis anos que el vendaval del imperialismo yanqui derribo nuestras instituciones ya va para seis anos q eclipsado el sol de la soberania vivimos a la sombra de la esclavitud doliente y bochornosa ya ya para seis anos q la patria sangrienta y angustiada llama hora tras hora a la puerta de cada un corazon dominicano y ya va para seis anos que por encima del clamor de un pueblo torturado y mas recia que el resonar de las cadenas y el chasquido del latigo se oye la voz viril y airada del poeta la voz de rebeldia del patriota irreductible la voz de protesta de un hombre que ama la libertad mas que la vida,119,2,9,-7,-0.0588235294117647,negativa,libertad; vida,angustiada; bochornosa; cadenas; derribo; doliente; esclavitud; imperialismo; rebeldia; torturado
femina_000048,femina,48,colonialismo,yanqui,"Ya va para seis años que el vendaval del imperialismo yanqui derribó nuestras instituciones; ya va para seis años q. eclipsado el sol de la soberanía, vivimos a la sombra de la esclavitud doliente y bochornosa; ya ya para seis años q. la Patria, sangrienta y angustiada, llama hora tras hora a la puerta de cada un corazón dominicano, y ya va para seis años que por encima del clamor de un pueblo torturado, y más recia que el resonar de las cadenas y el chasquido del látigo, se oye la voz viril y airada del poeta; la voz de rebeldía del patriota irreductible; la voz de protesta de un hombre que ama la libertad más que la vida.",ya va para seis anos que el vendaval del imperialismo yanqui derribo nuestras instituciones ya va para seis anos q eclipsado el sol de la soberania vivimos a la sombra de la esclavitud doliente y bochornosa ya ya para seis anos q la patria sangrienta y angustiada llama hora tras hora a la puerta de cada un corazon dominicano y ya va para seis anos que por encima del clamor de un pueblo torturado y mas recia que el resonar de las cadenas y el chasquido del latigo se oye la voz viril y airada del poeta la voz de rebeldia del patriota irreductible la voz de protesta de un hombre que ama la libertad mas que la vida,119,2,9,-7,-0.0588235294117647,negativa,libertad; vida,angustiada; bochornosa; cadenas; derribo; doliente; esclavitud; imperialismo; rebeldia; torturado
femina_000007,femina,7,colonialismo,imperialismo,"APARECE esta revista cientificoliteraria y de intereses generales en momentos bien aflictivos para la familia dominicana; aparece cuando sobre el santo suelo de la Patria soplan las ráfagas del mas insólito imperialismo; aparece cuando mas necesaria es una labor de cooperación, y cuando se necesita edificar con acciones y pensamientos de noble civismo y abnegación sin límites.",aparece esta revista cientificoliteraria y de intereses generales en momentos bien aflictivos para la familia dominicana aparece cuando sobre el santo suelo de la patria soplan las rafagas del mas insolito imperialismo aparece cuando mas necesaria es una labor de cooperacion y cuando se necesita edificar con acciones y pensamientos de noble civismo y abnegacion sin limites,57,2,2,0,0.0,neutra,bien; noble,aflictivos; imperialismo
femina_000359,femina,359,colonialismo,intervención,"Como todos los dominicanos se encuentran vivamente deseosos de que cese cuanto antes la Intervención, semejantes nuevas han hecho estallar el mas loco regocijo Pero.... por qué no confesarlo? A pesar de que la promesa de una pronta desocupación sin menoscabo del decoro nacional, ha sido hecha por hombres que merecen confianza, nosotros no escondemos nuestro recelo.",como todos los dominicanos se encuentran vivamente deseosos de que cese cuanto antes la intervencion semejantes nuevas han hecho estallar el mas loco regocijo pero por que no confesarlo a pesar de que la promesa de una pronta desocupacion sin menoscabo del decoro nacional ha sido hecha por hombres que merecen confianza nosotros no escondemos nuestro recelo,57,0,0,0,0.0,neutra,,
