Topic;Term 0;Term 1;Term 2;Term 3;Term 4;Term 5;Term 6;Term 7;Term 8;Term 9
Topic 0;niña;filipinas;colinas;luz;padecimientos;camino;despertado;sueños;veinte;doctorado
Topic 1;mujer;ciencia;vida;mulas;pepe;palabra;tumba;querida;niño;mes
Topic 2;hombre;educación;supo;despertar;mujeres;vida;conocen;guanajuato;ve;cascabel
Topic 3;impulsos;hábito;enseñanza;termina;sitio;poderoso;niños;principios;fabricados;dignos
Topic 4;continuación;bizcochos;humanidad;barranco;hubiese;hará;discernimiento;incompleta;duda;casa
Topic 5;ideas;queda;produce;mañana;amor;viajero;sér;mordido;informaciones;apoyos
Topic 6;ferrocarril;manila;instinto;abanicos;rodean;necesita;agricultor;paulo;hijos;necesidad
Topic 7;tinding;corazón;millas;especie;grupos;oculta;marfil;fuentes;sombreros;ciegos
Topic 8;página;naturaleza;fuerza;antigua;hallar;conservación;naturalmente;méxico;altura;espiritual
Topic 9;ciudad;montañas;sociales;objeto;espíritu;publicidad;diario;útiles;venir;orígen
