Topic;Term 0;Term 1;Term 2;Term 3;Term 4;Term 5;Term 6;Term 7;Term 8;Term 9
Topic 0;ana;san;peso;empre;in;mujer;aceptado;abonaremos;comisión;honorífico
Topic 1;suelos;roqué;lecho;manos;muere;politico;casa;ener;er;quesen
Topic 2;femenina;duprey;redacción;agan;unidos;guerra;nombre;harina;preparación;madre
Topic 3;mujeres;juan;precios;población;señorita;ene;necesarios;vor;pictorial;empezaremos
Topic 4;prestigiosas;derechos;señoras;compra;levadura;sr;subscrinción;idea;cartas;recibiendo
Topic 5;representantes;sas;vue;estra;humacao;americana;melas;anos;instrumentos;información
Topic 6;cultura;royal;aquena;revista;anas;as;mundial;postal;número;integrada
Topic 7;mujer;representante;puras;señora;nombrar;amor;enen;europa;mar;mundo
Topic 8;heraldo;puerto;the;baring;puertorriqueñas;ente;puertorriqueno;rrera;literatas;retratos
Topic 9;rico;pueblo;of;aspira;ronal;his;ficina;periódicos;vahan;logrado
