Topic;Term 0;Term 1;Term 2;Term 3;Term 4;Term 5;Term 6;Term 7;Term 8;Term 9
Topic 0;mujer;años;alma;espiritual;historia;tratar;intereses;reir;merma;conciencia
Topic 1;patria;revista;pueblo;petronila;noche;sociedad;compleja;fundar;distinción;1922
Topic 2;humilde;obra;presentaros;doliente;proposito;condición;patriotas;beso;hombre;corazón
Topic 3;hora;voz;idea;página;honra;rebeldía;calor;patriota;fabio;senda
Topic 4;fémina;hombres;intelectual;palabra;república;melancolía;almas;elocuente;aspiraciones;glorioso
Topic 5;pueblos;acción;podido;imperialismo;tribuna;alta;líneas;lectura;consagración;morales
Topic 6;hogar;cultura;noble;edificio;atraviesa;evolución;página;santo;hagan;sana
Topic 7;social;esperanza;horizonte;sentimientos;único;unidad;vasto;hermanos;pensamientos;galante
Topic 8;aparece;dulce;familia;desarrollo;aliento;sagrada;insigne;campo;pensamiento;cívica
Topic 9;dominicana;libertad;tierra;mundo;fuerzas;querido;inteligente;culto;levanta;nacional
