documento,tema,sentimiento,frecuencia
Femina,catolicismo,NEG,2
Femina,catolicismo,NEU,6
Femina,catolicismo,POS,14
Femina,españa,NEG,11
Femina,españa,NEU,29
Femina,españa,POS,25
Femina,estados_unidos,NEG,11
Femina,estados_unidos,NEU,28
Femina,estados_unidos,POS,39
Femina,feminismo,NEG,18
Femina,feminismo,NEU,18
Femina,feminismo,POS,31
Femina,hombre,NEG,96
Femina,hombre,NEU,73
Femina,hombre,POS,65
Femina,mujer,NEG,109
Femina,mujer,NEU,150
Femina,mujer,POS,189
Femina,patria,NEG,25
Femina,patria,NEU,41
Femina,patria,POS,67
Femina,raza,NEG,3
Femina,raza,NEU,8
Femina,raza,POS,27
Filipinas,catolicismo,NEG,2
Filipinas,catolicismo,NEU,1
Filipinas,españa,NEG,3
Filipinas,españa,NEU,8
Filipinas,españa,POS,3
Filipinas,estados_unidos,NEG,1
Filipinas,estados_unidos,NEU,3
Filipinas,estados_unidos,POS,5
Filipinas,hombre,NEG,41
Filipinas,hombre,NEU,43
Filipinas,hombre,POS,26
Filipinas,mujer,NEG,76
Filipinas,mujer,NEU,152
Filipinas,mujer,POS,87
Filipinas,patria,NEG,9
Filipinas,patria,POS,3
Filipinas,raza,NEG,3
Filipinas,raza,NEU,3
Filipinas,raza,POS,4
Heraldo,catolicismo,NEG,2
Heraldo,españa,NEG,13
Heraldo,españa,NEU,16
Heraldo,españa,POS,19
Heraldo,estados_unidos,NEG,8
Heraldo,estados_unidos,NEU,29
Heraldo,estados_unidos,POS,14
Heraldo,feminismo,NEG,15
Heraldo,feminismo,NEU,19
Heraldo,feminismo,POS,11
Heraldo,hombre,NEG,57
Heraldo,hombre,NEU,77
Heraldo,hombre,POS,39
Heraldo,mujer,NEG,175
Heraldo,mujer,NEU,324
Heraldo,mujer,POS,142
Heraldo,patria,NEG,12
Heraldo,patria,NEU,21
Heraldo,patria,POS,16
Heraldo,raza,NEG,1
Heraldo,raza,NEU,3
Heraldo,raza,POS,3
