documento,tema,sentimiento,n_frases
femina,colonialismo,negativo,11
femina,colonialismo,neutro,22
femina,colonialismo,positivo,19
femina,educacion,negativo,44
femina,educacion,neutro,45
femina,educacion,positivo,97
femina,feminismo,negativo,21
femina,feminismo,neutro,26
femina,feminismo,positivo,34
femina,hogar,negativo,87
femina,hogar,neutro,92
femina,hogar,positivo,128
femina,mujer,negativo,159
femina,mujer,neutro,217
femina,mujer,positivo,330
femina,patria,negativo,50
femina,patria,neutro,109
femina,patria,positivo,136
femina,raza,negativo,30
femina,raza,neutro,52
femina,raza,positivo,57
femina,religion,negativo,71
femina,religion,neutro,59
femina,religion,positivo,119
filipinas,colonialismo,negativo,4
filipinas,colonialismo,neutro,6
filipinas,colonialismo,positivo,2
filipinas,educacion,negativo,51
filipinas,educacion,neutro,41
filipinas,educacion,positivo,45
filipinas,feminismo,positivo,1
filipinas,hogar,negativo,66
filipinas,hogar,neutro,53
filipinas,hogar,positivo,52
filipinas,mujer,negativo,118
filipinas,mujer,neutro,102
filipinas,mujer,positivo,140
filipinas,patria,negativo,35
filipinas,patria,neutro,22
filipinas,patria,positivo,42
filipinas,raza,negativo,6
filipinas,raza,neutro,18
filipinas,raza,positivo,5
filipinas,religion,negativo,30
filipinas,religion,neutro,19
filipinas,religion,positivo,19
heraldo,colonialismo,negativo,13
heraldo,colonialismo,neutro,24
heraldo,colonialismo,positivo,4
heraldo,educacion,negativo,25
heraldo,educacion,neutro,46
heraldo,educacion,positivo,54
heraldo,feminismo,negativo,16
heraldo,feminismo,neutro,31
heraldo,feminismo,positivo,26
heraldo,hogar,negativo,55
heraldo,hogar,neutro,78
heraldo,hogar,positivo,55
heraldo,mujer,negativo,172
heraldo,mujer,neutro,367
heraldo,mujer,positivo,160
heraldo,patria,negativo,53
heraldo,patria,neutro,49
heraldo,patria,positivo,44
heraldo,raza,negativo,16
heraldo,raza,neutro,28
heraldo,raza,positivo,14
heraldo,religion,negativo,23
heraldo,religion,neutro,39
heraldo,religion,positivo,34
