revista,topic,n_chunks,porcentaje_en_revista
El Heraldo de la Mujer,0,5,2.0408163265306123
El Heraldo de la Mujer,1,10,4.081632653061225
El Heraldo de la Mujer,2,4,1.6326530612244898
El Heraldo de la Mujer,3,12,4.8979591836734695
El Heraldo de la Mujer,4,4,1.6326530612244898
El Heraldo de la Mujer,5,2,0.8163265306122449
El Heraldo de la Mujer,6,17,6.938775510204081
El Heraldo de la Mujer,7,1,0.40816326530612246
El Heraldo de la Mujer,8,12,4.8979591836734695
El Heraldo de la Mujer,9,5,2.0408163265306123
El Heraldo de la Mujer,10,10,4.081632653061225
El Heraldo de la Mujer,11,1,0.40816326530612246
El Heraldo de la Mujer,12,5,2.0408163265306123
El Heraldo de la Mujer,13,1,0.40816326530612246
El Heraldo de la Mujer,14,1,0.40816326530612246
El Heraldo de la Mujer,15,1,0.40816326530612246
El Heraldo de la Mujer,16,2,0.8163265306122449
El Heraldo de la Mujer,17,5,2.0408163265306123
El Heraldo de la Mujer,18,4,1.6326530612244898
El Heraldo de la Mujer,19,3,1.2244897959183674
El Heraldo de la Mujer,20,5,2.0408163265306123
El Heraldo de la Mujer,21,4,1.6326530612244898
El Heraldo de la Mujer,22,4,1.6326530612244898
El Heraldo de la Mujer,23,1,0.40816326530612246
El Heraldo de la Mujer,24,3,1.2244897959183674
El Heraldo de la Mujer,25,4,1.6326530612244898
El Heraldo de la Mujer,26,5,2.0408163265306123
El Heraldo de la Mujer,29,5,2.0408163265306123
El Heraldo de la Mujer,30,3,1.2244897959183674
El Heraldo de la Mujer,31,3,1.2244897959183674
El Heraldo de la Mujer,32,3,1.2244897959183674
El Heraldo de la Mujer,33,5,2.0408163265306123
El Heraldo de la Mujer,34,1,0.40816326530612246
El Heraldo de la Mujer,35,3,1.2244897959183674
El Heraldo de la Mujer,36,1,0.40816326530612246
El Heraldo de la Mujer,37,6,2.4489795918367347
El Heraldo de la Mujer,38,1,0.40816326530612246
El Heraldo de la Mujer,39,7,2.857142857142857
