revista,persona,frecuencia
Filipinas,Constancia Poblete,10
Filipinas,Francisca Gesmundo,8
Filipinas,Fabián Vidal,1
Filipinas,Matilde Montoya,2
Filipinas,Mad. Stal,1
Filipinas,Maximiliano,1
Filipinas,Pepe,2
Filipinas,Tinding,4
Filipinas,Felisberta Soliongko,1
Filipinas,Amalia Francisco,1
Filipinas,Genoveva Camaclan,1
Filipinas,Rosario Lam de Escobar,5
Filipinas,Elena,1
Filipinas,Margaret T. Maguire,2
Filipinas,Dr. Witmer,3
Filipinas,Charles Gilman,3
Filipinas,Dr. Cronin,1
Filipinas,J. Lewis Crozer,1
Filipinas,Daniel Lesueur,1
Filipinas,Duramelegare,1
Filipinas,Alodia,2
Filipinas,Holofernes,2
Filipinas,Judith,3
Filipinas,L. L. Billan,1
Filipinas,Pomposa,1
Filipinas,Francisco Ferrer Guardia,1
Filipinas,Martin Ocampo,2
Filipinas,Alfonso XIII,8
Filipinas,Maura,1
Filipinas,J. Abraham,1
Filipinas,J. E. del Rosario,1
Filipinas,Patrich Shao,1
Filipinas,Catalino Doranila,1
Filipinas,Emilio Gerona,1
Filipinas,Sergio Osmeña,1
Filipinas,E. B. Williams,1
Filipinas,Basilio Martinez,1
Filipinas,Estanislawa Magat,1
Filipinas,Felix de Jesus,1
Filipinas,Juan Caspe,1
Filipinas,Bernabé Santos,1
Filipinas,Mme. Curie,2
Filipinas,Concepción Jimeno de Flaquer,1
Filipinas,Semíramis,2
Filipinas,Artemisa,1
Filipinas,Luisa de La Valiére,1
Filipinas,Puccini,1
Filipinas,Verdi,1
Filipinas,Donizetti,1
Filipinas,Mozart,1
Filipinas,Angela,2
Filipinas,Dolorosa,1
Filipinas,Hermenegildo Cruz,1
Filipinas,Francisco Baltazar,3
Filipinas,W. A. Kinkaid,1
Filipinas,Rebecca Parish,2
Filipinas,Mary J. Johnston,3
Filipinas,Gertrude Diersbach,1
Filipinas,Rose Duddley,1
Filipinas,S. B. Johnston,1
Filipinas,Baronesa von Suttner,1
Filipinas,Selma Lagerloff,1
Filipinas,Marconi,1
Filipinas,Braun,1
Filipinas,Ostwald,1
Filipinas,Teodoro Kocher,1
Filipinas,Barón de Estournelles de Constant,1
Filipinas,M. Beernaert,1
Filipinas,Margarita,1
Filipinas,Elizabeth Barrett Browning,1
Filipinas,Charles Kingsley,1
Filipinas,Emerson,1
Filipinas,Ciceron,1
Filipinas,Belisario Rosas,1
Filipinas,Pepita,5
Filipinas,Florinda Ligaya,2
Filipinas,Elena Matintiman,2
Filipinas,Luisa,2
Filipinas,Anciay,1
Filipinas,Carmen Edano,1
Filipinas,Dr. Mariano A. Gana,1
Filipinas,Francisco de Guia,2
Filipinas,Rosalia Cobarrubias,1
Filipinas,Condesa Diane de Beausacq,2
Filipinas,Pierre Loti,1
Filipinas,Eugene Mouton,1
Filipinas,Jean Aicard,1
Filipinas,Edouard Hervé,1
Filipinas,Alphonse Daudet,1
Filipinas,Sully Prudhomme,1
Filipinas,Laurent Tailhade,1
Filipinas,José Maria de Heredia,1
Filipinas,B. de B.,1
Filipinas,Maria,2
Filipinas,Florencio,2
Filipinas,Guillermo,3
Filipinas,Mr. John,4
Filipinas,Idin,1
Filipinas,Consolacion Amada,1
Filipinas,M. Comby,1
Filipinas,Vicente E. Genato,5
Filipinas,Carmen Fariñas,2
Filipinas,Peter M. Myers,2
Filipinas,Sra. Peter M. Myers,1
Filipinas,Maria del Pilar,1
Filipinas,Agustina de Aragón,1
Filipinas,Condesa de Bureta,1
Filipinas,Almostaín,1
Filipinas,Cantu,1
Filipinas,Taboli,1
Filipinas,Smiles,1
Filipinas,Mantegazza,1
Filipinas,Agripa,1
Filipinas,Chesterfield,1
Filipinas,Schiller,2
Filipinas,Victor Hugo,1
Filipinas,Tansiang,3
Filipinas,Crispulo Layog,1
Filipinas,Maria Cruz,1
Filipinas,Pilar J. Lázaro,1
Filipinas,Elisa Romero,1
Filipinas,Luis,1
Filipinas,Anselmo,1
Filipinas,Bulaklak,1
Filipinas,Ligaya,1
Filipinas,Patricio,1
Filipinas,Isabel la Católica,1
Filipinas,Victoria I,3
Filipinas,John R. Edgar,2
Filipinas,Felix Ullmann,2
Filipinas,Agustin Reyes,1
Filipinas,Wenceslawa Daman,1
Filipinas,Marcelino Aguna,1
Filipinas,C. J. Fife,1
Filipinas,Sumulong,1
Filipinas,Dean C. Worcester,2
Filipinas,Teodoro M. Kalaw,2
Filipinas,Lope K. Santos,2
Filipinas,Rafael Palma,2
Filipinas,Arcadio Arellano,1
Filipinas,Angel José,1
Filipinas,Galo Lichauco,1
Filipinas,Felipe Barretto,1
Filipinas,Gregorio M. Cansipit,1
Filipinas,Condesa de Pardo Bazan,1
Filipinas,Manuel,2
Filipinas,Quiroga,2
Filipinas,Isabelo de los Reyes,2
Filipinas,Asuncion Manahan,1
Filipinas,Elpidia Yía,2
Filipinas,Marcelo H. del Pilar,1
Filipinas,Graciano Lopez Jaena,1
Filipinas,José Burgos,1
Filipinas,Jacinto Zamora,1
Filipinas,Mariano Gómez,1
Filipinas,Antonio Luna,1
Filipinas,Modesto de Castro,1
Filipinas,Candido Tria Tirona,1
Filipinas,Anacleto del Rosario,1
Filipinas,Apolinario Mabini,1
Filipinas,Juan Luna,1
Filipinas,Pedro Pilapil,1
Filipinas,Simplicio Solís,1
Filipinas,Wenceslao Bonus,1
Filipinas,Mariano García,1
Filipinas,Gregorio Ballesteros,1
Filipinas,Cayetano Arellano,1
Filipinas,Fernando M.a Guerrero,1
Filipinas,Fidel A. Reyes,1
Filipinas,Faustino Aguilar,1
Filipinas,Cárlos Ronquillo,1
Filipinas,Ignacio Villamor,1
Filipinas,Ramón Diokno,1
Filipinas,Justo Lukban,1
Filipinas,Macario Adriático,1
Filipinas,Jaime C. de Veyra,1
Filipinas,Arsenio Cruz Herrera,2
Filipinas,Pacífico Victoriano,1
