revista,persona,frecuencia
Fémina,Petronila Angélica Gómez,95
Fémina,Consuelo Montalvo de Frías,64
Fémina,María L. de Angelis de Canino,38
Fémina,Enriqueta Maggiolo de Cruzado,22
Fémina,Isabel Amechazurra Vda. Pellerano,17
Fémina,B. Portela Alvarez,12
Fémina,Miguel A. Guerrero R.,10
Fémina,Delia M. Weber,10
Fémina,Federico Henríquez y Carvajal,10
Fémina,Joaquín Ma. Bobea,9
Fémina,Lorenzo Justiniano Bobea,9
Fémina,José Martínez Conde,8
Fémina,Félix M. Pérez,8
Fémina,Armando Oscar,8
Fémina,Emilio A. Morel,7
Fémina,Manuel A. Patín Maceo,7
Fémina,Mario Caminero Sánchez,7
Fémina,Luisa O. Pellerano de Henríquez,6
Fémina,Natalia García,6
Fémina,Evangelina Rodríguez,6
Fémina,Enrique Cambier,6
Fémina,Mariblanca Sabas Alomá,6
Fémina,Luis A. de Mena,6
Fémina,Fabio Fiallo,6
Fémina,Elena Arizmendi Duersch,5
Fémina,M. Alfaro Reyes,5
Fémina,V. Valera Reyes,5
Fémina,Sebastián Leite de Vasconcellos,5
Fémina,M. A. Peguero Hijo,5
Fémina,José E. Fernández,4
Fémina,Rubén Darío,4
Fémina,Juana de Ibarbourou,4
Fémina,Dimas Frías,4
Fémina,Antonio Valdez hijo,3
Fémina,Eduvigis Rosas,3
Fémina,Rafael Alburquerque,3
Fémina,Amparito Herrera,3
Fémina,Adolfo A. Nouel,3
Fémina,Venancio de Écija,3
Fémina,José Ramón López,3
Fémina,Manuel E. Suncar,2
Fémina,María Luisa Oliver,2
Fémina,Delia Dubot,2
Fémina,Godofredo Canino,2
Fémina,Juan Bautista Vicini Burgos,2
Fémina,Celina L. de González,2
Fémina,Jorge Cuesta,2
Fémina,Cándida Richiez,2
Fémina,Genivera Prince,2
Fémina,Teté Mallén,2
Fémina,Gloria Faxas,2
Fémina,Juan Amechazurra,2
Fémina,Dulce María Borrero de Luján,2
Fémina,Arístides García Mella,2
Fémina,Gladys E. de los Santos N.,2
Fémina,Emiliano Tejera,2
Fémina,Carlos B. Leonor,2
Fémina,María di Sorrento,2
Fémina,Mercedes Díaz,2
Fémina,Arsenio Perdiguero,2
Fémina,Joaquín S. Inchanstegui,2
Fémina,Vicente Medina,2
Fémina,Tomás Gómez Brea,2
Fémina,Manuel E. Mallén Isambert,2
Fémina,Victor M. Geraldino,1
Fémina,Cheita Ricart,1
Fémina,Lelé Guerra,1
Fémina,Manuel F. Leonor,1
Fémina,Mélida Mercado,1
Fémina,Alfonso,1
Fémina,Miguel Rodríguez O.,1
Fémina,Alfonsina M. de Rodríguez,1
Fémina,Luis Amiama,1
Fémina,A. Scaroina,1
Fémina,Moscoso Puello,1
Fémina,Jorge Pou,1
Fémina,Delcilida Fiallo,1
Fémina,Salvador Gonzáles,1
Fémina,José de Jesús Frómeta,1
Fémina,Liliana Alburquerque,1
Fémina,Daniel González,1
Fémina,Jose Maria Caminero,1
Fémina,Jose Zuniga,1
Fémina,Felipe Rincón G.,1
Fémina,Miguel A Vuylsteke,1
Fémina,Leon Von Hegelson,1
Fémina,José Torres Díaz,1
Fémina,Giovanni Campa,1
Fémina,Benedetto Giuseppe Virilli,1
Fémina,Reginaldo S. Sculpi,1
Fémina,Trina Moya de Vázquez,1
Fémina,Melaní Winter,1
Fémina,Fedora Pellerano,1
Fémina,Arturo Pellerano Alfau,1
Fémina,Augusto Emilio,1
Fémina,Evangelina Adams,1
Fémina,Modesto Cedano,1
Fémina,Nidia Batlle,1
Fémina,Juan Espinal y Peña,1
Fémina,Teresa Peña de Espinal,1
Fémina,Armando Moreaux,1
Fémina,Teresa de Moreaux,1
Fémina,Juana I. Vda. Escotto,1
Fémina,Moisés de Soto,1
Fémina,José de J. Núñez y Domínguez,1
Fémina,María Pedemonte,1
Fémina,Celina Regel Gilson,1
Fémina,Atenas Richiez,1
Fémina,Emilio Benedicto,1
Fémina,María Ballis,1
Fémina,Elie Faure,1
Fémina,Andrés Avelino,1
Fémina,Luis Florentino,1
Fémina,Orfelina M. de Sardá,1
