revista,persona,frecuencia
Heraldo de la Mujer,Ana Roqué de Duprey,18
Heraldo de la Mujer,Geraldine Maud Froscher,6
Heraldo de la Mujer,Josefa Aguayo de Ventura,3
Heraldo de la Mujer,Alfredo González,2
Heraldo de la Mujer,Margarita de Prado,6
Heraldo de la Mujer,Helen H. Gardener,2
Heraldo de la Mujer,Miles Poindexter,3
Heraldo de la Mujer,Carrie Chapman Catt,5
Heraldo de la Mujer,Amparo Fernandez,5
Heraldo de la Mujer,Wilson,7
Heraldo de la Mujer,Eugenio María de Hostos,8
Heraldo de la Mujer,Jose de Diego,4
Heraldo de la Mujer,Carmela Eulate Sanjurjo,11
Heraldo de la Mujer,Carlota Mendez,5
Heraldo de la Mujer,Catherine Breshkovsky,2
Heraldo de la Mujer,Trina Padilla de Sanz,2
Heraldo de la Mujer,Margarita Perez de Celis,2
Heraldo de la Mujer,Ben B. Lindsey,2
Heraldo de la Mujer,Lloyd George,2
Heraldo de la Mujer,Pedro Giusti,2
Heraldo de la Mujer,Rafael del Valle Atiles,3
Heraldo de la Mujer,Dolores Bolio,2
Heraldo de la Mujer,Federico Urbach,2
Heraldo de la Mujer,Milagros Benet de Newton,2
Filipinas,Constancia Poblete,9
Filipinas,Francisca Gesmundo,6
Filipinas,Rosario Lam,7
Filipinas,José Rizal,13
Filipinas,Charles Gilman,4
Filipinas,Dr. Witmer,4
Filipinas,Margaret T. Maguire,3
Filipinas,Mrs. J. Lewis Crozer,2
Filipinas,Daniel Lesueur,2
Filipinas,Felisberta Soliongko,2
Filipinas,Pura Villanueva,2
Filipinas,Pilar J. Lázaro,2
Filipinas,Elena Matintiman,3
Filipinas,Florinda Ligaya,3
Filipinas,Elizabeth Barrett Browning,2
Filipinas,Charles Kingsley,2
Filipinas,Rebecca Parish,2
Filipinas,Carmen Fariñas,2
Filipinas,Fabián Vidal,2
Filipinas,Matilde Montoya,2
Filipinas,Gertrude Dreisbach,2
Filipinas,Rose Dudley,2
Filipinas,Mr. S. B. Johnston,2
Fémina,Petronila Angélica Gómez,24
Fémina,Consuelo Montalvo de Frías,19
Fémina,María L. Angelis de Canino,17
Fémina,Vetilio Valera Reyes,7
Fémina,Patín Maceo,7
Fémina,Fabio Fiallo,9
Fémina,Miguel A. Guerrero R.,7
Fémina,M. Alfaro Reyes,6
Fémina,B. Portela Alvarez,8
Fémina,José Martinez Conde,5
Fémina,Natalia García,5
Fémina,Eduvigis Rosas,4
Fémina,Evangelina Rodriguez,6
Fémina,Armando Oscar,5
Fémina,Emilio A. Morel,9
Fémina,Trina Moya de Vasquez,2
Fémina,Sebastian Leite de Vasconcellos,4
Fémina,Mariblanca Sabas Alomá,7
Fémina,Juana de Ibarbourou,5
Fémina,Tulio M. Cestero,2
Fémina,Mario Caminero Sanchez,8
Fémina,Luis C. del Castillo,5
Fémina,Elena Arizmendi,7
Fémina,Carmen de Burgos,3
Fémina,Federico Henriquez y Carvajal,6
Fémina,Enriqueta Maggiolo de Cruzado,10
Fémina,Juana Borrero,2
Fémina,Maximo Gomez,4
Fémina,Juan Bta. Vicini Burgos,3
Fémina,Joaquin S. Inchaustegui,4
Fémina,Ledo. Julio Coiscou,2
Fémina,Froilan Turcios,3
Fémina,Jose Ramon Lopez,4
Fémina,Felipe de J. Espinosa,1
Fémina,José Ingenieros,2
Fémina,Juan Isidro Jimenes Grullon,1
Fémina,Eugenio Deschamps,2
Fémina,Aristides Garcia Mella,2
Fémina,Delia Weber,5
Fémina,Mignon Coiscou Henriquez,3
Fémina,Fray Venancio de Ecija,2
Fémina,Rafael Alburquerque,2
Fémina,Ledo. Porfirio Herrera,2
Fémina,Juan A. Hernández,2
Fémina,Cesar Iglesias,2
