revista,persona,frecuencia
Heraldo de la Mujer,Ana Roqué de Duprey,33
Heraldo de la Mujer,Concha Meléndez,10
Heraldo de la Mujer,Carmela Eulate Sanjurjo,10
Heraldo de la Mujer,Woodrow Wilson,7
Heraldo de la Mujer,Geraldine Maud Froscher,5
Heraldo de la Mujer,Amparo Fernández Náter,5
Heraldo de la Mujer,Carlota Mendez,5
Heraldo de la Mujer,Antonio Barceló,4
Heraldo de la Mujer,Tous Soto,4
Heraldo de la Mujer,Frédéric Chopin,4
Heraldo de la Mujer,Conde Despara,4
Heraldo de la Mujer,Arthur Langdon,4
Heraldo de la Mujer,Helen H. Gardener,3
Heraldo de la Mujer,Miles Poindexter,3
Heraldo de la Mujer,Ben B. Lindsey,3
Heraldo de la Mujer,Marie Bonnevial,3
Heraldo de la Mujer,Luisa Amelia de Hostos,3
Heraldo de la Mujer,Camille Flammarion,3
Heraldo de la Mujer,Francisco González Fagundo,2
Heraldo de la Mujer,Josefa Aguayo de Ventura,2
Heraldo de la Mujer,Alfredo González,2
Heraldo de la Mujer,Fidela M. de Rodríguez,2
Heraldo de la Mujer,Georges Clemenceau,2
Heraldo de la Mujer,Frieda von Buelow,2
Heraldo de la Mujer,Hermilia Galindo,2
Heraldo de la Mujer,Catherine Breshkovsky,2
Heraldo de la Mujer,Francis Jammes,2
Heraldo de la Mujer,Herbert Hoover,2
Heraldo de la Mujer,Margarita Pérez de Celis,2
Heraldo de la Mujer,Lloyd George,2
Heraldo de la Mujer,Muñoz Rivera,2
Heraldo de la Mujer,José de Diego,2
Heraldo de la Mujer,Federico Santander,2
Heraldo de la Mujer,Eugenio María de Hostos,2
Heraldo de la Mujer,Amado Nervo,2
Heraldo de la Mujer,Samuel Smiles,2
Heraldo de la Mujer,Aristarco de Samos,2
Heraldo de la Mujer,Nicolás Copérnico,2
Heraldo de la Mujer,Nicole Oresme,2
Heraldo de la Mujer,Aristóteles,2
Heraldo de la Mujer,Santo Tomás de Aquino,2
Heraldo de la Mujer,Cayetano Coll y Toste,2
Heraldo de la Mujer,Teodoro Aguilar,2
Heraldo de la Mujer,Isern Benítez,1
Heraldo de la Mujer,David Gray,1
Heraldo de la Mujer,Barón Sonnino,1
Heraldo de la Mujer,Juliet Barrett Rublee,1
Heraldo de la Mujer,U. S. Fawcett,1
Heraldo de la Mujer,Mme. Ravier,1
Heraldo de la Mujer,Captain Ravier,1
Heraldo de la Mujer,Mme. Pronsard,1
