Id,Source,Target,Type,Weight,Label,Revista,Persona,PersonaOriginalEnRevista
e1,revista:heraldo de la mujer,persona:adela astol,Undirected,1,Heraldo de la Mujer — Adela Astol (1),Heraldo de la Mujer,Adela Astol,Adela Astol
e2,revista:heraldo de la mujer,persona:afranio peixoto,Undirected,1,Heraldo de la Mujer — Afranio Peixoto (1),Heraldo de la Mujer,Afranio Peixoto,Afranio Peixoto
e3,revista:heraldo de la mujer,persona:alan seeger,Undirected,1,Heraldo de la Mujer — Alan Seeger (1),Heraldo de la Mujer,Alan Seeger,Alan Seeger
e4,revista:heraldo de la mujer,persona:alfredo gonzalez,Undirected,2,Heraldo de la Mujer — Alfredo González (2),Heraldo de la Mujer,Alfredo González,Alfredo González
e5,revista:heraldo de la mujer,persona:alvina van praet,Undirected,1,Heraldo de la Mujer — Alvina van Praet (1),Heraldo de la Mujer,Alvina van Praet,Alvina van Praet
e6,revista:heraldo de la mujer,persona:amado nervo,Undirected,2,Heraldo de la Mujer — Amado Nervo (2),Heraldo de la Mujer,Amado Nervo,Amado Nervo
e7,revista:heraldo de la mujer,persona:amalia garcia,Undirected,1,Heraldo de la Mujer — Amalia Garcia (1),Heraldo de la Mujer,Amalia Garcia,Amalia Garcia
e8,revista:heraldo de la mujer,persona:amenophis iii,Undirected,1,Heraldo de la Mujer — Amenophis III (1),Heraldo de la Mujer,Amenophis III,Amenophis III
e9,revista:heraldo de la mujer,persona:amenophis iv,Undirected,1,Heraldo de la Mujer — Amenophis IV (1),Heraldo de la Mujer,Amenophis IV,Amenophis IV
e10,revista:heraldo de la mujer,persona:amparo fernandez nater,Undirected,5,Heraldo de la Mujer — Amparo Fernández Náter (5),Heraldo de la Mujer,Amparo Fernández Náter,Amparo Fernández Náter
e11,revista:heraldo de la mujer,persona:ana c bernal,Undirected,1,Heraldo de la Mujer — Ana C. Bernal (1),Heraldo de la Mujer,Ana C. Bernal,Ana C. Bernal
e12,revista:heraldo de la mujer,persona:ana matilde gonzalez cuyar,Undirected,1,Heraldo de la Mujer — Ana Matilde Gonzalez Cuyar (1),Heraldo de la Mujer,Ana Matilde Gonzalez Cuyar,Ana Matilde Gonzalez Cuyar
