Id,Label,Type,NodeType,TotalFrequency,RevistaCount,Revistas,Variants
revista:heraldo de la mujer,Heraldo de la Mujer,revista,revista,251,,Heraldo de la Mujer,
revista:fémina,Fémina,revista,revista,607,,Fémina,
revista:filipinas,Filipinas,revista,revista,356,,Filipinas,
persona:a scaroina,A. Scaroina,persona,persona,1,1,Fémina,A. Scaroina
persona:adan,Adan,persona,persona,1,1,Filipinas,Adan
persona:adela astol,Adela Astol,persona,persona,1,1,Heraldo de la Mujer,Adela Astol
persona:adolfo a nouel,Adolfo A. Nouel,persona,persona,3,1,Fémina,Adolfo A. Nouel
persona:afranio peixoto,Afranio Peixoto,persona,persona,1,1,Heraldo de la Mujer,Afranio Peixoto
persona:agripa,Agripa,persona,persona,1,1,Filipinas,Agripa
persona:agustin reyes,Agustin Reyes,persona,persona,1,1,Filipinas,Agustin Reyes
persona:agustina de aragon,Agustina de Aragón,persona,persona,1,1,Filipinas,Agustina de Aragón
persona:aime martin,Aime Martin,persona,persona,1,1,Filipinas,Aime Martin
persona:alan seeger,Alan Seeger,persona,persona,1,1,Heraldo de la Mujer,Alan Seeger
persona:alejandro cabrera reyes,Alejandro Cabrera Reyes,persona,persona,1,1,Fémina,Alejandro Cabrera Reyes
persona:alfonsina m de rodriguez,Alfonsina M. de Rodríguez,persona,persona,1,1,Fémina,Alfonsina M. de Rodríguez
persona:alfonsina storni,Alfonsina Storni,persona,persona,1,1,Fémina,Alfonsina Storni
persona:alfonso,Alfonso,persona,persona,1,1,Fémina,Alfonso
persona:alfonso xiii,Alfonso XIII,persona,persona,8,1,Filipinas,Alfonso XIII
persona:alfredo gonzalez,Alfredo González,persona,persona,2,1,Heraldo de la Mujer,Alfredo González
persona:almostain,Almostaín,persona,persona,1,1,Filipinas,Almostaín
persona:alodia,Alodia,persona,persona,2,1,Filipinas,Alodia
persona:alphonse daudet,Alphonse Daudet,persona,persona,1,1,Filipinas,Alphonse Daudet
persona:altagracia savinon,Altagracia Saviñón,persona,persona,1,1,Fémina,Altagracia Saviñón
persona:alvina van praet,Alvina van Praet,persona,persona,1,1,Heraldo de la Mujer,Alvina van Praet
persona:amado nervo,Amado Nervo,persona,persona,2,1,Heraldo de la Mujer,Amado Nervo
persona:amalia francisco,Amalia Francisco,persona,persona,1,1,Filipinas,Amalia Francisco
persona:amalia garcia,Amalia Garcia,persona,persona,1,1,Heraldo de la Mujer,Amalia Garcia
persona:amenophis iii,Amenophis III,persona,persona,1,1,Heraldo de la Mujer,Amenophis III
persona:amenophis iv,Amenophis IV,persona,persona,1,1,Heraldo de la Mujer,Amenophis IV
persona:amparito herrera,Amparito Herrera,persona,persona,3,1,Fémina,Amparito Herrera
persona:amparo fernandez nater,Amparo Fernández Náter,persona,persona,5,1,Heraldo de la Mujer,Amparo Fernández Náter
persona:america de moya,América de Moya,persona,persona,1,1,Fémina,América de Moya
persona:ana c bernal,Ana C. Bernal,persona,persona,1,1,Heraldo de la Mujer,Ana C. Bernal
persona:ana matilde gonzalez cuyar,Ana Matilde Gonzalez Cuyar,persona,persona,1,1,Heraldo de la Mujer,Ana Matilde Gonzalez Cuyar
persona:ana roque de duprey,Ana Roqué de Duprey,persona,persona,33,1,Heraldo de la Mujer,Ana Roqué de Duprey
persona:ana wauker,Ana Wauker,persona,persona,1,1,Filipinas,Ana Wauker
persona:anacleto del rosario,Anacleto del Rosario,persona,persona,1,1,Filipinas,Anacleto del Rosario
persona:anciay,Anciay,persona,persona,1,1,Filipinas,Anciay
persona:andres avelino,Andrés Avelino,persona,persona,1,1,Fémina,Andrés Avelino
persona:andres bonifacio,Andrés Bonifacio,persona,persona,2,1,Filipinas,Andrés Bonifacio
persona:angel giorgetti,Angel Giorgetti,persona,persona,1,1,Heraldo de la Mujer,Angel Giorgetti
persona:angel jose,Angel José,persona,persona,1,1,Filipinas,Angel José
persona:angel san padilla,Angel San Padilla,persona,persona,1,1,Heraldo de la Mujer,Angel San Padilla
persona:angela,Angela,persona,persona,2,1,Filipinas,Angela
persona:angelita c de mino,Angelita C. de Miño,persona,persona,1,1,Heraldo de la Mujer,Angelita C. de Miño
persona:anne morgan,Anne Morgan,persona,persona,3,1,Filipinas,Anne Morgan
persona:annie besant,Annie Besant,persona,persona,1,1,Heraldo de la Mujer,Annie Besant
persona:anselmo,Anselmo,persona,persona,1,1,Filipinas,Anselmo
persona:antonio barcelo,Antonio Barceló,persona,persona,4,1,Heraldo de la Mujer,Antonio Barceló
persona:antonio elmudesi,Antonio Elmudesi,persona,persona,1,1,Fémina,Antonio Elmudesi
persona:antonio julian hac,Antonio Julián Hac,persona,persona,1,1,Fémina,Antonio Julián Hac
persona:antonio luna,Antonio Luna,persona,persona,1,1,Filipinas,Antonio Luna
persona:antonio otero,Antonio Otero,persona,persona,1,1,Heraldo de la Mujer,Antonio Otero
persona:antonio valdez hijo,Antonio Valdez hijo,persona,persona,3,1,Fémina,Antonio Valdez hijo
persona:apolinario mabini,Apolinario Mabini,persona,persona,1,1,Filipinas,Apolinario Mabini
persona:arcadio arellano,Arcadio Arellano,persona,persona,1,1,Filipinas,Arcadio Arellano
persona:aristarco de samos,Aristarco de Samos,persona,persona,2,1,Heraldo de la Mujer,Aristarco de Samos
persona:aristoteles,Aristóteles,persona,persona,2,1,Heraldo de la Mujer,Aristóteles
persona:armando d garcia,Armando D. García,persona,persona,1,1,Heraldo de la Mujer,Armando D. García
persona:armando moreaux,Armando Moreaux,persona,persona,1,1,Fémina,Armando Moreaux
persona:armando oscar,Armando Oscar,persona,persona,8,1,Fémina,Armando Oscar
persona:arsenio cruz herrera,Arsenio Cruz Herrera,persona,persona,2,1,Filipinas,Arsenio Cruz Herrera
persona:arsenio perdiguero,Arsenio Perdiguero,persona,persona,2,1,Fémina,Arsenio Perdiguero
persona:artemisa,Artemisa,persona,persona,1,1,Filipinas,Artemisa
persona:arthur langdon,Arthur Langdon,persona,persona,4,1,Heraldo de la Mujer,Arthur Langdon
persona:arturo pellerano alfau,Arturo Pellerano Alfau,persona,persona,1,1,Fémina,Arturo Pellerano Alfau
persona:aristides garcia mella,Arístides García Mella,persona,persona,2,1,Fémina,Arístides García Mella
persona:asuncion manahan,Asuncion Manahan,persona,persona,1,1,Filipinas,Asuncion Manahan
persona:atenas richiez,Atenas Richiez,persona,persona,1,1,Fémina,Atenas Richiez
persona:augusto emilio,Augusto Emilio,persona,persona,1,1,Fémina,Augusto Emilio
persona:avril de sainte-croix,Avril de Sainte-Croix,persona,persona,1,1,Heraldo de la Mujer,Avril de Sainte-Croix
persona:b de b,B. de B.,persona,persona,1,1,Filipinas,B. de B.
persona:b portela alvarez,B. Portela Alvarez,persona,persona,12,1,Fémina,B. Portela Alvarez
persona:baronesa von suttner,Baronesa von Suttner,persona,persona,1,1,Filipinas,Baronesa von Suttner
persona:baron de estournelles de constant,Barón de Estournelles de Constant,persona,persona,1,1,Filipinas,Barón de Estournelles de Constant
persona:baron sonnino,Barón Sonnino,persona,persona,1,1,Heraldo de la Mujer,Barón Sonnino
persona:basilio martinez,Basilio Martinez,persona,persona,1,1,Filipinas,Basilio Martinez
persona:beatriz,Beatriz,persona,persona,5,1,Filipinas,Beatriz
persona:beatriz del dante,Beatriz del Dante,persona,persona,1,1,Fémina,Beatriz del Dante
persona:belisario rosas,Belisario Rosas,persona,persona,1,1,Filipinas,Belisario Rosas
persona:belen a de duran,Belén A. de Durán,persona,persona,1,1,Fémina,Belén A. de Durán
persona:ben b lindsey,Ben B. Lindsey,persona,persona,3,1,Heraldo de la Mujer,Ben B. Lindsey
persona:benedetto giuseppe virilli,Benedetto Giuseppe Virilli,persona,persona,1,1,Fémina,Benedetto Giuseppe Virilli
persona:benita a de roda,Benita A. de Roda,persona,persona,1,1,Filipinas,Benita A. de Roda
persona:bernabe santos,Bernabé Santos,persona,persona,1,1,Filipinas,Bernabé Santos
persona:blanca rodriguez,Blanca Rodríguez,persona,persona,1,1,Fémina,Blanca Rodríguez
persona:blasco ibanez,Blasco Ibáñez,persona,persona,1,1,Heraldo de la Mujer,Blasco Ibáñez
persona:blundell maple,Blundell Maple,persona,persona,1,1,Filipinas,Blundell Maple
persona:bonald,Bonald,persona,persona,1,1,Filipinas,Bonald
persona:braun,Braun,persona,persona,1,1,Filipinas,Braun
persona:buigricout,Buigricout,persona,persona,1,1,Filipinas,Buigricout
persona:bulaklak,Bulaklak,persona,persona,1,1,Filipinas,Bulaklak
persona:c j fife,C. J. Fife,persona,persona,1,1,Filipinas,C. J. Fife
persona:cambucha de sanchidrian,Cambucha de Sanchidrián,persona,persona,1,1,Heraldo de la Mujer,Cambucha de Sanchidrián
persona:camille flammarion,Camille Flammarion,persona,persona,3,1,Heraldo de la Mujer,Camille Flammarion
persona:candido tria tirona,Candido Tria Tirona,persona,persona,1,1,Filipinas,Candido Tria Tirona
persona:cantu,Cantu,persona,persona,1,1,Filipinas,Cantu
persona:captain ravier,Captain Ravier,persona,persona,1,1,Heraldo de la Mujer,Captain Ravier
persona:carlos b leonor,Carlos B. Leonor,persona,persona,2,1,Fémina,Carlos B. Leonor
persona:carlota mendez,Carlota Mendez,persona,persona,5,1,Heraldo de la Mujer,Carlota Mendez
persona:carmela eulate sanjurjo,Carmela Eulate Sanjurjo,persona,persona,10,1,Heraldo de la Mujer,Carmela Eulate Sanjurjo
persona:carmelita morales,Carmelita Morales,persona,persona,1,1,Fémina,Carmelita Morales
persona:carmen edano,Carmen Edano,persona,persona,1,1,Filipinas,Carmen Edano
persona:carmen espinet,Carmen Espinet,persona,persona,1,1,Fémina,Carmen Espinet
persona:carmen farinas,Carmen Fariñas,persona,persona,2,1,Filipinas,Carmen Fariñas
persona:caro,Caro,persona,persona,1,1,Filipinas,Caro
persona:carrie chapman catt,Carrie Chapman Catt,persona,persona,1,1,Heraldo de la Mujer,Carrie Chapman Catt
persona:catalino doranila,Catalino Doranila,persona,persona,1,1,Filipinas,Catalino Doranila
persona:catherine breshkovsky,Catherine Breshkovsky,persona,persona,2,1,Heraldo de la Mujer,Catherine Breshkovsky
persona:cayetano arellano,Cayetano Arellano,persona,persona,1,1,Filipinas,Cayetano Arellano
persona:cayetano coll y toste,Cayetano Coll y Toste,persona,persona,2,1,Heraldo de la Mujer,Cayetano Coll y Toste
persona:cecilio apostol,Cecilio Apóstol,persona,persona,1,1,Filipinas,Cecilio Apóstol
persona:celina l de gonzalez,Celina L. de González,persona,persona,2,1,Fémina,Celina L. de González
persona:celina regel gilson,Celina Regel Gilson,persona,persona,1,1,Fémina,Celina Regel Gilson
persona:charles gilman,Charles Gilman,persona,persona,3,1,Filipinas,Charles Gilman
persona:charles kingsley,Charles Kingsley,persona,persona,1,1,Filipinas,Charles Kingsley
persona:cheita ricart,Cheita Ricart,persona,persona,1,1,Fémina,Cheita Ricart
persona:chesterfield,Chesterfield,persona,persona,1,1,Filipinas,Chesterfield
persona:ciceron,Ciceron,persona,persona,1,1,Filipinas,Ciceron
persona:clemencia merval,Clemencia Merval,persona,persona,1,1,Fémina,Clemencia Merval
persona:concepcion jimeno de flaquer,Concepción Jimeno de Flaquer,persona,persona,1,1,Filipinas,Concepción Jimeno de Flaquer
persona:concha melendez,Concha Meléndez,persona,persona,10,1,Heraldo de la Mujer,Concha Meléndez
persona:conde despara,Conde Despara,persona,persona,4,1,Heraldo de la Mujer,Conde Despara
persona:condesa de bureta,Condesa de Bureta,persona,persona,1,1,Filipinas,Condesa de Bureta
persona:condesa de pardo bazan,Condesa de Pardo Bazan,persona,persona,1,1,Filipinas,Condesa de Pardo Bazan
persona:condesa de szechanbl,Condesa de Szechanbl,persona,persona,1,1,Filipinas,Condesa de Szechanbl
persona:condesa diane de beausacq,Condesa Diane de Beausacq,persona,persona,2,1,Filipinas,Condesa Diane de Beausacq
persona:consolacion amada,Consolacion Amada,persona,persona,1,1,Filipinas,Consolacion Amada
persona:constancia poblete,Constancia Poblete,persona,persona,10,1,Filipinas,Constancia Poblete
persona:constantino valero,Constantino Valero,persona,persona,1,1,Fémina,Constantino Valero
persona:consuelo montalvo de frias,Consuelo Montalvo de Frías,persona,persona,64,1,Fémina,Consuelo Montalvo de Frías
persona:corza espinet,Corza Espinet,persona,persona,1,1,Fémina,Corza Espinet
persona:cosima liszt de wagner,Cosima Liszt de Wagner,persona,persona,1,1,Heraldo de la Mujer,Cosima Liszt de Wagner
persona:crispulo layog,Crispulo Layog,persona,persona,1,1,Filipinas,Crispulo Layog
persona:cruz maria prince,Cruz María Prince,persona,persona,1,1,Fémina,Cruz María Prince
persona:candida richiez,Cándida Richiez,persona,persona,2,1,Fémina,Cándida Richiez
persona:carlos ronquillo,Cárlos Ronquillo,persona,persona,1,1,Filipinas,Cárlos Ronquillo
persona:daniel gonzalez,Daniel González,persona,persona,1,1,Fémina,Daniel González
persona:daniel lesueur,Daniel Lesueur,persona,persona,1,1,Filipinas,Daniel Lesueur
persona:david gray,David Gray,persona,persona,1,1,Heraldo de la Mujer,David Gray
persona:dean c worcester,Dean C. Worcester,persona,persona,2,1,Filipinas,Dean C. Worcester
persona:delcilida fiallo,Delcilida Fiallo,persona,persona,1,1,Fémina,Delcilida Fiallo
persona:delia dubot,Delia Dubot,persona,persona,2,1,Fémina,Delia Dubot
persona:delia m weber,Delia M. Weber,persona,persona,10,1,Fémina,Delia M. Weber
persona:delia sasso,Delia Sasso,persona,persona,1,1,Fémina,Delia Sasso
persona:dimas frias,Dimas Frías,persona,persona,4,1,Fémina,Dimas Frías
persona:dolores bolio,Dolores Bolio,persona,persona,1,1,Heraldo de la Mujer,Dolores Bolio
persona:dolores c velarde,Dolores C. Velarde,persona,persona,1,1,Filipinas,Dolores C. Velarde
persona:dolorosa,Dolorosa,persona,persona,1,1,Filipinas,Dolorosa
persona:donizetti,Donizetti,persona,persona,1,1,Filipinas,Donizetti
persona:dora mayer,Dora Mayer,persona,persona,1,1,Heraldo de la Mujer,Dora Mayer
persona:dr charles stiles,Dr. Charles Stiles,persona,persona,2,1,Filipinas,Dr. Charles Stiles
persona:dr cronin,Dr. Cronin,persona,persona,1,1,Filipinas,Dr. Cronin
persona:dr janer,Dr. Janer,persona,persona,1,1,Heraldo de la Mujer,Dr. Janer
persona:dr jose rizal,Dr. José Rizal,persona,persona,7,1,Filipinas,Dr. José Rizal
persona:dr mariano a gana,Dr. Mariano A. Gana,persona,persona,1,1,Filipinas,Dr. Mariano A. Gana
persona:dr witmer,Dr. Witmer,persona,persona,3,1,Filipinas,Dr. Witmer
persona:dulce maria borrero de lujan,Dulce María Borrero de Luján,persona,persona,2,1,Fémina,Dulce María Borrero de Luján
persona:duquesa de roxburgh,Duquesa de Roxburgh,persona,persona,1,1,Filipinas,Duquesa de Roxburgh
persona:duramelegare,Duramelegare,persona,persona,1,1,Filipinas,Duramelegare
persona:e b williams,E. B. Williams,persona,persona,1,1,Filipinas,E. B. Williams
persona:e valdes,E. Valdés,persona,persona,1,1,Fémina,E. Valdés
persona:edmundo saint-denis,Edmundo Saint-Denis,persona,persona,1,1,Fémina,Edmundo Saint-Denis
persona:edouard herve,Edouard Hervé,persona,persona,1,1,Filipinas,Edouard Hervé
persona:eduardo alberto principe de gales,Eduardo Alberto (Príncipe de Gales),persona,persona,1,1,Heraldo de la Mujer,Eduardo Alberto (Príncipe de Gales)
persona:eduardo vii,Eduardo VII,persona,persona,1,1,Filipinas,Eduardo VII
persona:eduvigis rosas,Eduvigis Rosas,persona,persona,3,1,Fémina,Eduvigis Rosas
persona:elena,Elena,persona,persona,1,1,Filipinas,Elena
persona:elena arizmendi duersch,Elena Arizmendi Duersch,persona,persona,5,1,Fémina,Elena Arizmendi Duersch
persona:elena matintiman,Elena Matintiman,persona,persona,2,1,Filipinas,Elena Matintiman
persona:elie faure,Elie Faure,persona,persona,1,1,Fémina,Elie Faure
persona:elisa romero,Elisa Romero,persona,persona,1,1,Filipinas,Elisa Romero
persona:elizabeth barrett browning,Elizabeth Barrett Browning,persona,persona,1,1,Filipinas,Elizabeth Barrett Browning
persona:elpidia yia,Elpidia Yía,persona,persona,2,1,Filipinas,Elpidia Yía
persona:emerson,Emerson,persona,persona,1,1,Filipinas,Emerson
persona:emiliano tejera,Emiliano Tejera,persona,persona,2,1,Fémina,Emiliano Tejera
persona:emilio a morel,Emilio A. Morel,persona,persona,7,1,Fémina,Emilio A. Morel
persona:emilio benedicto,Emilio Benedicto,persona,persona,1,1,Fémina,Emilio Benedicto
persona:emilio gerona,Emilio Gerona,persona,persona,1,1,Filipinas,Emilio Gerona
persona:enrico caruso,Enrico Caruso,persona,persona,1,1,Heraldo de la Mujer,Enrico Caruso
persona:enrique cambier,Enrique Cambier,persona,persona,6,1,Fémina,Enrique Cambier
persona:enrique montano hijo,Enrique Montano Hijo,persona,persona,1,1,Fémina,Enrique Montano Hijo
persona:enriqueta maggiolo de cruzado,Enriqueta Maggiolo de Cruzado,persona,persona,22,1,Fémina,Enriqueta Maggiolo de Cruzado
persona:ernestina gomez perez,Ernestina Gómez Pérez,persona,persona,1,1,Fémina,Ernestina Gómez Pérez
persona:esopo,Esopo,persona,persona,1,1,Heraldo de la Mujer,Esopo
persona:essad pasha,Essad Pasha,persona,persona,1,1,Heraldo de la Mujer,Essad Pasha
persona:estanislawa magat,Estanislawa Magat,persona,persona,1,1,Filipinas,Estanislawa Magat
persona:eugene mouton,Eugene Mouton,persona,persona,1,1,Filipinas,Eugene Mouton
persona:eugenia,Eugenia,persona,persona,1,1,Filipinas,Eugenia
persona:eugenio deschamps,Eugenio Deschamps,persona,persona,1,1,Fémina,Eugenio Deschamps
persona:eugenio maria de hostos,Eugenio María de Hostos,persona,persona,2,1,Heraldo de la Mujer,Eugenio María de Hostos
persona:eva,Eva,persona,persona,1,1,Filipinas,Eva
persona:evangelina adams,Evangelina Adams,persona,persona,1,1,Fémina,Evangelina Adams
persona:evangelina rodriguez,Evangelina Rodríguez,persona,persona,6,1,Fémina,Evangelina Rodríguez
persona:fabio fiallo,Fabio Fiallo,persona,persona,6,1,Fémina,Fabio Fiallo
persona:fabiola cano sone,Fabiola Cano Soñé,persona,persona,1,1,Fémina,Fabiola Cano Soñé
persona:fabian vidal,Fabián Vidal,persona,persona,1,1,Filipinas,Fabián Vidal
persona:faustino aguilar,Faustino Aguilar,persona,persona,1,1,Filipinas,Faustino Aguilar
persona:fe mesina,Fe Mesina,persona,persona,1,1,Fémina,Fe Mesina
persona:federico henriquez y carvajal,Federico Henríquez y Carvajal,persona,persona,10,1,Fémina,Federico Henríquez y Carvajal
persona:federico santander,Federico Santander,persona,persona,2,1,Heraldo de la Mujer,Federico Santander
persona:fedora pellerano,Fedora Pellerano,persona,persona,1,1,Fémina,Fedora Pellerano
persona:felicidad legaspi,Felicidad Legaspi,persona,persona,1,1,Filipinas,Felicidad Legaspi
